##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/2157.archaea.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/2157.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:49
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/2157.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	593117.TGAM_0750 64091.VNG1305G
NOG04068:	593117.TGAM_1633 64091.VNG1853G
NOG04069:	593117.TGAM_1685 64091.VNG0481G
NOG04070:	593117.TGAM_1543 64091.VNG0947G
NOG04071:	64091.VNG2547G 593117.TGAM_0682
NOG04072:	593117.TGAM_1641 64091.VNG0901G
NOG04073:	64091.VNG1784C 593117.TGAM_1776
NOG04074:	64091.VNG2238C 593117.TGAM_0029
NOG04075:	593117.TGAM_0399 64091.VNG1624G
NOG04076:	64091.VNG2226G 593117.TGAM_0159 593117.TGAM_1012
NOG04077:	593117.TGAM_1333 64091.VNG0284C
NOG04078:	593117.TGAM_0629 64091.VNG1793C
NOG04079:	593117.TGAM_1318 64091.VNG1216G
NOG04080:	593117.TGAM_1700 64091.VNG1601G
NOG04081:	64091.VNG1510C 593117.TGAM_0276
NOG04082:	64091.VNG0401G 593117.TGAM_1720
NOG04083:	593117.TGAM_0126 64091.VNG2338G
NOG04084:	64091.VNG1529G 593117.TGAM_2026
NOG04085:	64091.VNG0349Gm 593117.TGAM_1308
NOG04086:	64091.VNG2411G 593117.TGAM_0128
NOG04087:	64091.VNG2368G 593117.TGAM_0870
NOG04088:	593117.TGAM_0760 64091.VNG1829G
NOG04089:	593117.TGAM_1880 64091.VNG0461G
NOG04090:	64091.VNG2190G 593117.TGAM_0588
NOG04091:	64091.VNG2664Gm 593117.TGAM_1925
NOG04092:	64091.VNG0997G 593117.TGAM_0230
NOG04093:	593117.TGAM_1549 64091.VNG1097G
NOG04094:	593117.TGAM_1146 64091.VNG1875G
NOG04095:	64091.VNG2017G 593117.TGAM_2044
NOG04096:	593117.TGAM_1020 64091.VNG1432G
NOG04097:	64091.VNG1048G 64091.VNG0046G 593117.TGAM_2146
NOG04098:	593117.TGAM_1722 593117.TGAM_1689 64091.VNG1472G
NOG04099:	64091.VNG1959G 593117.TGAM_1141
NOG04100:	593117.TGAM_0271 64091.VNG2045G
NOG04101:	593117.TGAM_1935 64091.VNG2615C
NOG04102:	593117.TGAM_1051 64091.VNG0403G
NOG04103:	593117.TGAM_0642 64091.VNG0009G
NOG04104:	593117.TGAM_0692 64091.VNG2131G
NOG04105:	593117.TGAM_1809 64091.VNG2430G
NOG04106:	593117.TGAM_0077 64091.VNG1142G
NOG04107:	593117.TGAM_0306 64091.VNG2005G
NOG04108:	64091.VNG0376G 593117.TGAM_0483
NOG04109:	64091.VNG0223G 593117.TGAM_0190
NOG04110:	593117.TGAM_1667 64091.VNG0095G
NOG04111:	64091.VNG2365G 593117.TGAM_0872 593117.TGAM_0335 64091.VNG2526G
NOG04112:	64091.VNG2072G 593117.TGAM_1943
NOG04113:	593117.TGAM_0422 64091.VNG1644G
NOG04114:	593117.TGAM_1790 64091.VNG1967G
NOG04115:	593117.TGAM_1574 64091.VNG1251G
NOG04116:	593117.TGAM_1337 64091.VNG1156G
NOG04117:	64091.VNG2056G 593117.TGAM_1286
NOG04118:	593117.TGAM_2128 64091.VNG1861C
NOG04119:	64091.VNG2232G 593117.TGAM_0212
NOG04120:	593117.TGAM_1704 64091.VNG2396G
NOG04121:	593117.TGAM_2003 64091.VNG1689G
NOG04122:	64091.VNG0063G 64091.VNG0065G 593117.TGAM_0953
NOG04123:	593117.TGAM_1982 64091.VNG1715G
NOG04124:	64091.VNG1444G 593117.TGAM_1608
NOG04125:	64091.VNG1622G 593117.TGAM_2063
NOG04126:	64091.VNG1603G 593117.TGAM_1701
NOG04127:	593117.TGAM_1894 64091.VNG0537C
NOG04128:	64091.VNG0876G 593117.TGAM_0637
NOG04129:	64091.VNG2504G 593117.TGAM_1149
NOG04130:	593117.TGAM_1439 64091.VNG0090G
NOG04131:	593117.TGAM_0114 64091.VNG2302G 593117.TGAM_0929
NOG04132:	64091.VNG1537C 593117.TGAM_1317 64091.VNG2502C
NOG04133:	593117.TGAM_0963 64091.VNG0908G
NOG04134:	593117.TGAM_1098 64091.VNG1506G
NOG04135:	64091.VNG1232G 593117.TGAM_1593
NOG04136:	593117.TGAM_1322 64091.VNG1414G
NOG04137:	593117.TGAM_0555 64091.VNG0525C
NOG04138:	64091.VNG0390G 593117.TGAM_0017
NOG04139:	64091.VNG1131G 593117.TGAM_0229
NOG04140:	593117.TGAM_0320 64091.VNG2424G
NOG04141:	593117.TGAM_0350 64091.VNG1606G
NOG04142:	64091.VNG1544G 593117.TGAM_0433
NOG04143:	64091.VNG0752G 593117.TGAM_0018
NOG04144:	593117.TGAM_1040 64091.VNG0727C 593117.TGAM_1039
NOG04145:	64091.VNG1272C 593117.TGAM_0224
NOG04146:	593117.TGAM_0460 64091.VNG0678G
NOG04147:	64091.VNG0327G 593117.TGAM_2137
NOG04148:	64091.VNG1478G 593117.TGAM_1500
NOG04149:	593117.TGAM_0488 64091.VNG1104G
NOG04150:	593117.TGAM_1959 64091.VNG1143G
NOG04151:	64091.VNG2595G 593117.TGAM_0645
NOG04152:	593117.TGAM_1855 64091.VNG1240G 64091.VNG0174G
NOG04153:	593117.TGAM_2000 64091.VNG1692G
NOG04154:	593117.TGAM_1612 64091.VNG0862G
NOG04155:	593117.TGAM_1972 64091.VNG1729G
NOG04156:	64091.VNG0250C 593117.TGAM_0403
NOG04157:	593117.TGAM_0857 64091.VNG1721G 64091.VNG1284G 64091.VNG2565G
NOG04158:	64091.VNG0321G 593117.TGAM_0510
NOG04159:	593117.TGAM_0419 64091.VNG0137G
NOG04160:	64091.VNG0177G 593117.TGAM_1800
NOG04161:	64091.VNG0521G 593117.TGAM_1455
NOG04162:	593117.TGAM_1921 64091.VNG2658G
NOG04163:	64091.VNG1610C 593117.TGAM_2017
NOG04164:	593117.TGAM_0875 64091.VNG2529G
NOG04165:	593117.TGAM_0404 64091.VNG1616C
NOG04166:	593117.TGAM_0180 64091.VNG1259G
NOG04167:	64091.VNG1118G 593117.TGAM_0314
NOG04168:	64091.VNG0243Cm 593117.TGAM_1877
NOG04169:	64091.VNG0166G 593117.TGAM_2039
NOG04170:	64091.VNG0085G 593117.TGAM_2068
NOG04171:	593117.TGAM_0755 64091.VNG1945G
NOG04172:	64091.VNG2155C 593117.TGAM_0595
NOG04173:	593117.TGAM_0909 64091.VNG1982C
NOG04174:	593117.TGAM_1953 64091.VNG0335a 593117.TGAM_0135
NOG04175:	64091.VNG0259G 593117.TGAM_0498
NOG04176:	593117.TGAM_1834 64091.VNG0723G 593117.TGAM_1095
NOG04177:	593117.TGAM_1410 64091.VNG0179C
NOG04178:	593117.TGAM_0864 64091.VNG2333C
NOG04179:	64091.VNG1697G 593117.TGAM_1997
NOG04180:	64091.VNG1027G 593117.TGAM_0313
NOG04181:	593117.TGAM_1728 64091.VNG1145G
NOG04182:	64091.VNG0190C 593117.TGAM_0020
NOG04183:	593117.TGAM_1425 64091.VNG0885G
NOG04184:	593117.TGAM_1487 64091.VNG0668C 593117.TGAM_1699
NOG04185:	593117.TGAM_1118 64091.VNG2012C
NOG04186:	64091.VNG1609C 593117.TGAM_0462
NOG04187:	593117.TGAM_2024 64091.VNG2181G
NOG04188:	593117.TGAM_1828 64091.VNG1150G
NOG04189:	593117.TGAM_0307 593117.TGAM_0179 64091.VNG1524C
NOG04190:	64091.VNG2627C 593117.TGAM_2070
NOG04191:	64091.VNG1230G 593117.TGAM_1592
NOG04192:	64091.VNG1117C 593117.TGAM_0925
NOG04193:	593117.TGAM_0856 64091.VNG1866G
NOG04194:	64091.VNG2031G 593117.TGAM_0073
NOG04195:	593117.TGAM_1313 64091.VNG0764C
NOG04196:	64091.VNG2159Gm 593117.TGAM_0815
NOG04197:	64091.VNG0884G 593117.TGAM_1426
NOG04198:	593117.TGAM_1656 64091.VNG2378G
NOG04199:	593117.TGAM_1029 64091.VNG2110C
NOG04200:	593117.TGAM_1983 64091.VNG1714G
NOG04201:	593117.TGAM_2002 64091.VNG1690G
NOG04202:	64091.VNG0351C 593117.TGAM_1914
NOG04203:	593117.TGAM_2038 64091.VNG1276C
NOG04204:	593117.TGAM_1249 593117.TGAM_0048 64091.VNG0563G 593117.TGAM_0040 593117.TGAM_0709
NOG04205:	593117.TGAM_0526 64091.VNG0854C
NOG04206:	593117.TGAM_0719 64091.VNG1779C
NOG04207:	64091.VNG1884G 593117.TGAM_0624
NOG04208:	593117.TGAM_0618 64091.VNG1501G
NOG04209:	64091.VNG0637G 593117.TGAM_0244 593117.TGAM_0059 593117.TGAM_0036
NOG04210:	64091.VNG0474G 64091.VNG1128G 593117.TGAM_1377 593117.TGAM_1381
NOG04211:	593117.TGAM_1392 64091.VNG2088G
NOG04212:	593117.TGAM_0556 64091.VNG0524G
NOG04213:	593117.TGAM_1034 64091.VNG2404G 64091.VNG0720G
NOG04214:	593117.TGAM_1892 64091.VNG0540G
NOG04215:	64091.VNG0628G 593117.TGAM_1822 64091.VNG0161G 64091.VNG1204G
NOG04216:	64091.VNG1705G 593117.TGAM_1989
NOG04217:	593117.TGAM_1920 64091.VNG2657G
NOG04218:	593117.TGAM_1380 593117.TGAM_1376 64091.VNG0473G 64091.VNG1125G
NOG04219:	593117.TGAM_1999 64091.VNG1693G
NOG04220:	593117.TGAM_1968 64091.VNG1133G
NOG04221:	593117.TGAM_0534 64091.VNG1572C
NOG04222:	64091.VNG0222C 593117.TGAM_0189
NOG04223:	593117.TGAM_1406 64091.VNG2305C
NOG04224:	64091.VNG1893G 593117.TGAM_1858 64091.VNG0470G
NOG04225:	64091.VNG1727G 593117.TGAM_1975
NOG04226:	593117.TGAM_1595 64091.VNG0382G
NOG04227:	593117.TGAM_0811 64091.VNG0546C
NOG04228:	64091.VNG1515G 593117.TGAM_0508
NOG04229:	64091.VNG0755C 593117.TGAM_1164
NOG04230:	593117.TGAM_1986 64091.VNG1709G
NOG04231:	64091.VNG2533G 593117.TGAM_0330
NOG04232:	593117.TGAM_1936 64091.VNG0946G 593117.TGAM_1783
NOG04233:	64091.VNG1111G 593117.TGAM_0991
NOG04234:	64091.VNG1359G 593117.TGAM_1199
NOG04235:	64091.VNG1882G 593117.TGAM_0621
NOG04236:	64091.VNG1108G 593117.TGAM_0486
NOG04237:	64091.VNG0903C 593117.TGAM_1640 64091.VNG0794G
NOG04238:	593117.TGAM_1122 64091.VNG0689G
NOG04239:	593117.TGAM_1947 64091.VNG2117C
NOG04240:	593117.TGAM_1987 64091.VNG1707G
NOG04241:	64091.VNG2418G 593117.TGAM_2012
NOG04242:	64091.VNG1724G 593117.TGAM_0940
NOG04243:	64091.VNG0971G 593117.TGAM_1529
NOG04244:	593117.TGAM_1218 64091.VNG2158G
NOG04245:	593117.TGAM_0923 64091.VNG1864G
NOG04246:	64091.VNG0335G 593117.TGAM_1646
NOG04247:	64091.VNG0857Cm 593117.TGAM_0531
NOG04248:	64091.VNG0136G 593117.TGAM_0429
NOG04249:	64091.VNG2135G 593117.TGAM_0148
NOG04250:	64091.VNG2043G 593117.TGAM_0168
NOG04251:	593117.TGAM_0809 64091.VNG0549G
NOG04252:	64091.VNG2604Gm 593117.TGAM_1270
NOG04253:	64091.VNG2317G 64091.VNG1631G 593117.TGAM_1802
NOG04254:	64091.VNG0683C 593117.TGAM_1754
NOG04255:	593117.TGAM_0131 64091.VNG1986C
NOG04256:	64091.VNG1165G 593117.TGAM_0904
NOG04257:	593117.TGAM_1082 64091.VNG2239C
NOG04258:	64091.VNG1105G 593117.TGAM_0487
NOG04259:	64091.VNG1136G 593117.TGAM_1966
NOG04260:	593117.TGAM_0763 64091.VNG0228G
NOG04261:	64091.VNG1859G 593117.TGAM_0176
NOG04262:	593117.TGAM_1502 64091.VNG0499G 593117.TGAM_1396
NOG04263:	64091.VNG1451C 593117.TGAM_1558
NOG04264:	593117.TGAM_1781 64091.VNG2272G
NOG04265:	64091.VNG0374G 593117.TGAM_0485
NOG04266:	64091.VNG1703G 593117.TGAM_1990
NOG04267:	64091.VNG1663C 593117.TGAM_0730
NOG04268:	64091.VNG2606G 593117.TGAM_1271
NOG04269:	593117.TGAM_0361 64091.VNG2015C
NOG04270:	64091.VNG1987G 593117.TGAM_0284
NOG04271:	593117.TGAM_0800 64091.VNG1498G 593117.TGAM_0861
NOG04272:	64091.VNG1089G 593117.TGAM_0952
NOG04273:	593117.TGAM_1424 64091.VNG2227C
NOG04274:	64091.VNG1185G 593117.TGAM_0851
NOG04275:	593117.TGAM_1963 64091.VNG1139Gm
NOG04276:	64091.VNG2233C 593117.TGAM_1423
NOG04277:	593117.TGAM_1383 64091.VNG1941C
NOG04278:	64091.VNG2112C 593117.TGAM_1316
NOG04279:	64091.VNG2237G 593117.TGAM_1070
NOG04280:	593117.TGAM_0061 593117.TGAM_0246 64091.VNG0560C 593117.TGAM_0710
NOG04281:	593117.TGAM_2099 64091.VNG2518C
NOG04282:	593117.TGAM_1594 64091.VNG1245C
NOG04283:	593117.TGAM_1967 64091.VNG1134G
NOG04284:	593117.TGAM_0174 64091.VNG0084G
NOG04285:	64091.VNG2144G 593117.TGAM_0141
NOG04286:	593117.TGAM_0620 64091.VNG1883G
NOG04287:	593117.TGAM_0630 64091.VNG2598G
NOG04288:	593117.TGAM_1854 64091.VNG0391C
NOG04289:	64091.VNG2552G 593117.TGAM_2053 64091.VNG1371Gm 64091.VNG2558G 593117.TGAM_0819
NOG04290:	64091.VNG2270G 593117.TGAM_1033
NOG04291:	64091.VNG1033G 593117.TGAM_1614
NOG04292:	64091.VNG1766C 593117.TGAM_0274
NOG04293:	64091.VNG0380G 593117.TGAM_1334
NOG04294:	593117.TGAM_2020 64091.VNG0732G
NOG04295:	593117.TGAM_1484 64091.VNG1299C 593117.TGAM_1481
NOG04296:	64091.VNG2475C 593117.TGAM_0679
NOG04297:	64091.VNG1526G 593117.TGAM_1707 64091.VNG1528G
NOG04298:	593117.TGAM_1008 64091.VNG1835G
NOG04299:	593117.TGAM_2054 64091.VNG1370G
NOG04300:	64091.VNG2053G 593117.TGAM_0499
NOG04301:	64091.VNG0301C 593117.TGAM_1162
NOG04302:	593117.TGAM_1193 64091.VNG2006C
NOG04303:	593117.TGAM_1873 64091.VNG1160G
NOG04304:	64091.VNG2087G 593117.TGAM_1610
NOG04305:	593117.TGAM_0829 593117.TGAM_0446 64091.VNG2243G
NOG04306:	593117.TGAM_1101 593117.TGAM_1140 64091.VNG0164G
NOG04307:	593117.TGAM_0955 64091.VNG0878Gm
NOG04308:	64091.VNG2203G 593117.TGAM_2049
NOG04309:	64091.VNG0950Gm 593117.TGAM_1541
NOG04310:	593117.TGAM_1607 64091.VNG2247G
NOG04311:	593117.TGAM_0797 64091.VNG2441G 64091.VNG1383G
NOG04312:	593117.TGAM_0585 64091.VNG1769Cm 64091.VNG0124C
NOG04313:	64091.VNG2152C 593117.TGAM_1664
NOG04314:	593117.TGAM_1023 64091.VNG1969G 593117.TGAM_1791
NOG04315:	593117.TGAM_1811 64091.VNG0307G
NOG04316:	593117.TGAM_1157 64091.VNG1343C
NOG04317:	593117.TGAM_1151 64091.VNG1325C
NOG04318:	64091.VNG1608C 593117.TGAM_1335 593117.TGAM_1336
NOG04319:	64091.VNG1578H 593117.TGAM_0544
NOG04320:	64091.VNG1957G 593117.TGAM_2122
NOG04321:	64091.VNG0882Gm 64091.VNG0719G 593117.TGAM_0424
NOG04322:	593117.TGAM_1344 64091.VNG0879C
NOG04323:	64091.VNG1347C 593117.TGAM_0324
NOG04324:	64091.VNG0923G 593117.TGAM_1015
NOG04325:	64091.VNG2312C 593117.TGAM_1940
NOG04326:	593117.TGAM_1998 64091.VNG1695G
NOG04327:	593117.TGAM_0631 64091.VNG0829G 593117.TGAM_0249 593117.TGAM_0065
NOG04328:	593117.TGAM_1993 64091.VNG1700G
NOG04329:	64091.VNG0761G 593117.TGAM_1731
NOG04330:	593117.TGAM_0436 64091.VNG2011G
NOG04331:	64091.VNG1377G 64091.VNG2094G 593117.TGAM_1945 593117.TGAM_0992
NOG04332:	593117.TGAM_1642 64091.VNG0898G
NOG04333:	64091.VNG2372G 593117.TGAM_1203
NOG04334:	593117.TGAM_1530 64091.VNG0974G
NOG04335:	593117.TGAM_1814 64091.VNG2082G
NOG04336:	64091.VNG0415G 593117.TGAM_1551
NOG04337:	593117.TGAM_2031 64091.VNG2650G
NOG04338:	64091.VNG2256G 593117.TGAM_1046
NOG04339:	593117.TGAM_1448 64091.VNG0393C 64091.VNG2154C
NOG04340:	593117.TGAM_0440 593117.TGAM_0901 64091.VNG0062G 64091.VNG0598C 593117.TGAM_2142
NOG04341:	64091.VNG2113C 593117.TGAM_1007 64091.VNG1164C
NOG04342:	64091.VNG1138G 593117.TGAM_1964
NOG04343:	64091.VNG1711G 593117.TGAM_1985
NOG04344:	64091.VNG1262G 593117.TGAM_2025
NOG04345:	593117.TGAM_0356 64091.VNG2507G
NOG04346:	64091.VNG2624G 593117.TGAM_1255
NOG04347:	593117.TGAM_0102 64091.VNG0181G
NOG04348:	64091.VNG0129G 593117.TGAM_1013
NOG04349:	593117.TGAM_0464 64091.VNG1174G
NOG04350:	64091.VNG0437C 593117.TGAM_1179
NOG04351:	64091.VNG2466a 593117.TGAM_1682
NOG04352:	64091.VNG2118G 593117.TGAM_1900
NOG04353:	593117.TGAM_1969 64091.VNG1132G
NOG04354:	64091.VNG1273G 593117.TGAM_1031
NOG04355:	64091.VNG0636G 593117.TGAM_0712
NOG04356:	64091.VNG0099G 593117.TGAM_2010
NOG04357:	593117.TGAM_1824 64091.VNG1794C
NOG04358:	593117.TGAM_1721 64091.VNG0880G 593117.TGAM_2052
NOG04359:	64091.VNG1592G 593117.TGAM_1436
NOG04360:	64091.VNG2003G 593117.TGAM_1659
NOG04361:	593117.TGAM_1706 64091.VNG2395C 64091.VNG1879G
NOG04362:	64091.VNG1157G 593117.TGAM_1876
NOG04363:	64091.VNG2432C 593117.TGAM_0524
NOG04364:	593117.TGAM_1388 64091.VNG1241G
NOG04365:	593117.TGAM_2129 64091.VNG2119C
NOG04366:	64091.VNG2351C 593117.TGAM_2030
NOG04367:	593117.TGAM_1282 64091.VNG0804C
NOG04368:	593117.TGAM_1055 64091.VNG2648G
NOG04369:	64091.VNG1980C 593117.TGAM_1665
NOG04370:	64091.VNG1038C 593117.TGAM_0425
NOG04371:	64091.VNG1665G 593117.TGAM_2074
NOG04372:	64091.VNG0610G 593117.TGAM_1764
NOG04373:	593117.TGAM_0880 64091.VNG0425G
NOG04374:	593117.TGAM_0804 64091.VNG0239C
NOG04375:	593117.TGAM_1643 64091.VNG0897G
NOG04376:	64091.VNG1605G 593117.TGAM_0903
NOG04377:	593117.TGAM_1808 64091.VNG1797G
NOG04378:	64091.VNG1168C 593117.TGAM_0905
NOG04379:	593117.TGAM_1091 64091.VNG1984G
NOG04380:	64091.VNG1137G 593117.TGAM_1965
NOG04381:	64091.VNG0592G 593117.TGAM_1277
NOG04382:	64091.VNG1701G 593117.TGAM_1992
NOG04383:	593117.TGAM_1163 64091.VNG0300C
NOG04384:	593117.TGAM_1878 64091.VNG0240a
NOG04385:	593117.TGAM_0364 64091.VNG1804G 593117.TGAM_1050
NOG04386:	64091.VNG0673G 593117.TGAM_1931
NOG04387:	64091.VNG0467G 64091.VNG1018G 593117.TGAM_0733
NOG04388:	593117.TGAM_0852 64091.VNG2474C
NOG04389:	64091.VNG0664G 64091.VNG1534a 593117.TGAM_1755
NOG04390:	64091.VNG1688C 593117.TGAM_2004
NOG04391:	593117.TGAM_0408 64091.VNG1053G
NOG04392:	64091.VNG0790G 593117.TGAM_0865
NOG04393:	64091.VNG0730C 593117.TGAM_0322
NOG04394:	593117.TGAM_0383 64091.VNG2361G 593117.TGAM_0333
NOG04395:	593117.TGAM_0431 64091.VNG1767G
NOG04396:	64091.VNG1123Gm 593117.TGAM_1897
NOG04397:	593117.TGAM_0862 64091.VNG0787G
NOG04398:	64091.VNG1713G 593117.TGAM_1984
NOG04399:	64091.VNG1176G 593117.TGAM_0463
NOG04400:	64091.VNG0265G 64091.VNG1933G 593117.TGAM_0773
NOG04401:	593117.TGAM_1108 64091.VNG1389C
NOG04402:	593117.TGAM_0288 64091.VNG1900C
NOG04403:	64091.VNG1782C 593117.TGAM_0466
NOG04404:	593117.TGAM_1613 64091.VNG2284G
NOG04405:	64091.VNG1988G 593117.TGAM_0283
NOG04406:	593117.TGAM_0736 593117.TGAM_0737 64091.VNG2104G
NOG04407:	64091.VNG2617G 593117.TGAM_1148 593117.TGAM_0072
NOG04408:	593117.TGAM_1611 64091.VNG2294G
NOG04409:	64091.VNG1668G 593117.TGAM_0646
NOG04410:	593117.TGAM_1195 64091.VNG2010G
NOG04411:	593117.TGAM_0481 64091.VNG0458G
NOG04412:	593117.TGAM_1414 64091.VNG1872C
NOG04413:	593117.TGAM_0280 64091.VNG1899G 593117.TGAM_0617
NOG04414:	593117.TGAM_0874 64091.VNG2346G
NOG04415:	64091.VNG1101C 593117.TGAM_0614
NOG04416:	593117.TGAM_1767 64091.VNG2587C
NOG04417:	64091.VNG1369G 593117.TGAM_0480
NOG04418:	64091.VNG2573G 593117.TGAM_1044 593117.TGAM_0368
NOG04419:	593117.TGAM_1844 64091.VNG0777G
NOG04420:	64091.VNG0081G 593117.TGAM_0172
NOG04421:	64091.VNG0556G 593117.TGAM_2139
NOG04422:	593117.TGAM_1874 64091.VNG1159G
NOG04423:	593117.TGAM_0096 64091.VNG1574G
NOG04424:	64091.VNG2567C 593117.TGAM_1540 64091.VNG0950a
NOG04425:	64091.VNG1401C 593117.TGAM_1401
NOG04426:	64091.VNG1847G 593117.TGAM_0129
NOG04427:	593117.TGAM_0638 64091.VNG0632G
NOG04428:	64091.VNG2661G 593117.TGAM_1922
NOG04429:	593117.TGAM_0268 593117.TGAM_0119 64091.VNG0753G
