##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:48
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/7147.diptera.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/7147.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/7147.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:49
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	7165.AGAP010314-PA 7227.FBpp0070181
NOG04071:	7165.AGAP005287-PA 7227.FBpp0073674
NOG04072:	7165.AGAP000715-PA 7227.FBpp0289296
NOG04073:	7227.FBpp0081878 7165.AGAP001549-PA
NOG04074:	7165.AGAP002802-PA 7227.FBpp0070633
NOG04075:	7227.FBpp0110241 7165.AGAP001523-PA
NOG04076:	7227.FBpp0303123 7165.AGAP005414-PA
NOG04077:	7227.FBpp0304140 7165.AGAP004443-PA
NOG04078:	7165.AGAP001658-PA 7227.FBpp0305528
NOG04079:	7227.FBpp0073459 7165.AGAP005631-PA
NOG04080:	7227.FBpp0111687 7165.AGAP002104-PA
NOG04081:	7165.AGAP011111-PA 7227.FBpp0288504
NOG04082:	7227.FBpp0303318 7165.AGAP003709-PA
NOG04083:	7165.AGAP000682-PA 7227.FBpp0084543
NOG04084:	7227.FBpp0086695 7165.AGAP001752-PA
NOG04085:	7227.FBpp0080146 7165.AGAP008908-PA
NOG04086:	7165.AGAP003490-PA 7227.FBpp0070875
NOG04087:	7227.FBpp0075272 7165.AGAP011730-PA
NOG04088:	7165.AGAP000639-PA 7227.FBpp0292533
NOG04089:	7165.AGAP008711-PA 7227.FBpp0079423
NOG04090:	7165.AGAP001633-PA 7227.FBpp0290554
NOG04091:	7165.AGAP008372-PA 7227.FBpp0079138 7227.FBpp0079139 7165.AGAP008370-PA 7165.AGAP008371-PA 7165.AGAP008373-PA
NOG04092:	7165.AGAP003602-PA 7227.FBpp0072129
NOG04093:	7165.AGAP004805-PA 7227.FBpp0075517
NOG04094:	7227.FBpp0076372 7165.AGAP005738-PA
NOG04095:	7227.FBpp0288996 7165.AGAP000256-PA
NOG04096:	7227.FBpp0086352 7165.AGAP005164-PA
NOG04097:	7165.AGAP009279-PA 7227.FBpp0077447
NOG04098:	7227.FBpp0083411 7165.AGAP004522-PA
NOG04099:	7227.FBpp0086872 7165.AGAP009772-PA
NOG04100:	7227.FBpp0290503 7165.AGAP000255-PE
NOG04101:	7227.FBpp0083153 7165.AGAP010265-PA
NOG04102:	7227.FBpp0082675 7165.AGAP002235-PA
NOG04103:	7227.FBpp0078353 7165.AGAP003242-PA
NOG04104:	7227.FBpp0088033 7165.AGAP004957-PA
NOG04105:	7227.FBpp0112080 7165.AGAP006120-PA
NOG04106:	7165.AGAP006904-PA 7227.FBpp0271771
NOG04107:	7227.FBpp0293521 7165.AGAP004942-PA
NOG04108:	7227.FBpp0070858 7165.AGAP000992-PB
NOG04109:	7227.FBpp0084635 7165.AGAP006030-PA
NOG04110:	7227.FBpp0083728 7165.AGAP004409-PA
NOG04111:	7165.AGAP011274-PA 7227.FBpp0086042
NOG04112:	7165.AGAP009536-PA 7227.FBpp0078634
NOG04113:	7165.AGAP012203-PA 7227.FBpp0078120
NOG04114:	7227.FBpp0072906 7165.AGAP006517-PA
NOG04115:	7165.AGAP000397-PA 7227.FBpp0082928
NOG04116:	7165.AGAP009032-PA 7227.FBpp0304298
NOG04117:	7227.FBpp0303116 7165.AGAP002845-PA
NOG04118:	7227.FBpp0289718 7165.AGAP001242-PA 7165.AGAP001239-PA
NOG04119:	7165.AGAP006992-PA 7227.FBpp0305332
NOG04120:	7227.FBpp0303000 7165.AGAP008803-PC
NOG04121:	7165.AGAP002152-PA 7227.FBpp0079502
NOG04122:	7165.AGAP008262-PA 7227.FBpp0290038
NOG04123:	7227.FBpp0298274 7165.AGAP008349-PA
NOG04124:	7227.FBpp0070098 7165.AGAP011306-PA
NOG04125:	7227.FBpp0078411 7165.AGAP003275-PA 7165.AGAP003274-PA
NOG04126:	7165.AGAP006020-PA 7227.FBpp0072534
NOG04127:	7165.AGAP002957-PA 7227.FBpp0077850
NOG04128:	7227.FBpp0289500 7165.AGAP011413-PA
NOG04129:	7165.AGAP007211-PA 7227.FBpp0085875
NOG04130:	7227.FBpp0070795 7165.AGAP010738-PA
NOG04131:	7227.FBpp0306028 7165.AGAP006965-PA
NOG04132:	7165.AGAP009226-PA 7227.FBpp0077442
NOG04133:	7165.AGAP000900-PA 7227.FBpp0303425
NOG04134:	7165.AGAP003479-PA 7227.FBpp0297308
NOG04135:	7165.AGAP003790-PD 7227.FBpp0088506
NOG04136:	7227.FBpp0300947 7165.AGAP012054-PA
NOG04137:	7227.FBpp0077370 7165.AGAP009428-PA
NOG04138:	7227.FBpp0078977 7165.AGAP006998-PA
NOG04139:	7227.FBpp0085617 7165.AGAP004199-PA
NOG04140:	7227.FBpp0085379 7165.AGAP007125-PA
NOG04141:	7227.FBpp0296988 7165.AGAP006570-PA
NOG04142:	7165.AGAP008613-PA 7227.FBpp0078663
NOG04143:	7165.AGAP000720-PB 7227.FBpp0297081
NOG04144:	7227.FBpp0086024 7165.AGAP000343-PA
NOG04145:	7165.AGAP012632-PA 7227.FBpp0100140 7165.AGAP012606-PA
NOG04146:	7165.AGAP001138-PA 7227.FBpp0076134
NOG04147:	7165.AGAP002935-PA 7227.FBpp0078532
NOG04148:	7165.AGAP007509-PA 7227.FBpp0070135
NOG04149:	7227.FBpp0075382 7165.AGAP011423-PA
NOG04150:	7165.AGAP003858-PA 7227.FBpp0083975
NOG04151:	7165.AGAP004629-PA 7227.FBpp0083396
NOG04152:	7165.AGAP003366-PA 7227.FBpp0082003
NOG04153:	7165.AGAP005931-PA 7227.FBpp0075727
NOG04154:	7227.FBpp0077899 7165.AGAP006387-PA
NOG04155:	7165.AGAP011095-PA 7227.FBpp0086751
NOG04156:	7165.AGAP004284-PA 7227.FBpp0087973
NOG04157:	7227.FBpp0099391 7165.AGAP010175-PA
NOG04158:	7227.FBpp0074715 7165.AGAP005920-PA
NOG04159:	7165.AGAP010960-PA 7227.FBpp0099380
NOG04160:	7227.FBpp0304825 7165.AGAP007863-PA
NOG04161:	7227.FBpp0290667 7165.AGAP009446-PA
NOG04162:	7227.FBpp0071303 7165.AGAP001036-PA
NOG04163:	7165.AGAP011565-PA 7227.FBpp0078376
NOG04164:	7227.FBpp0297918 7165.AGAP007306-PA
NOG04165:	7165.AGAP001324-PA 7227.FBpp0306019
NOG04166:	7165.AGAP001153-PA 7227.FBpp0078330
NOG04167:	7165.AGAP008598-PA 7227.FBpp0303869
NOG04168:	7227.FBpp0087151 7165.AGAP002626-PA
NOG04169:	7227.FBpp0290868 7165.AGAP011924-PA
NOG04170:	7227.FBpp0301699 7165.AGAP002007-PA 7165.AGAP002006-PA
NOG04171:	7165.AGAP000194-PA 7227.FBpp0085074
NOG04172:	7227.FBpp0072848 7165.AGAP008907-PA
NOG04173:	7227.FBpp0070654 7165.AGAP002114-PA
NOG04174:	7165.AGAP010398-PA 7165.AGAP010399-PA 7227.FBpp0072059
NOG04175:	7165.AGAP010696-PA 7227.FBpp0077552
NOG04176:	7227.FBpp0289980 7227.FBpp0076594 7165.AGAP009523-PA
NOG04177:	7165.AGAP005948-PA 7227.FBpp0088005
NOG04178:	7165.AGAP003524-PA 7227.FBpp0083779
NOG04179:	7227.FBpp0073551 7165.AGAP000310-PA
NOG04180:	7227.FBpp0073955 7165.AGAP000175-PA
NOG04181:	7165.AGAP004272-PA 7227.FBpp0084323
NOG04182:	7227.FBpp0074331 7165.AGAP000376-PA
NOG04183:	7165.AGAP007825-PA 7227.FBpp0080622
NOG04184:	7227.FBpp0076283 7165.AGAP002181-PA
NOG04185:	7227.FBpp0077753 7165.AGAP009114-PA
NOG04186:	7165.AGAP011396-PA 7227.FBpp0086747
NOG04187:	7227.FBpp0075343 7165.AGAP012002-PA
NOG04188:	7227.FBpp0083774 7165.AGAP004622-PA
NOG04189:	7227.FBpp0291358 7165.AGAP008813-PA
NOG04190:	7165.AGAP006431-PA 7227.FBpp0087275
NOG04191:	7227.FBpp0111303 7165.AGAP009818-PA
NOG04192:	7165.AGAP001056-PA 7227.FBpp0088522
NOG04193:	7165.AGAP003824-PA 7227.FBpp0082568
NOG04194:	7227.FBpp0075510 7165.AGAP012236-PA
NOG04195:	7165.AGAP008089-PA 7227.FBpp0087956
NOG04196:	7165.AGAP011084-PA 7227.FBpp0087865
NOG04197:	7165.AGAP001513-PA 7227.FBpp0071249
NOG04198:	7227.FBpp0303153 7165.AGAP002886-PB
NOG04199:	7227.FBpp0084071 7165.AGAP003703-PA
NOG04200:	7165.AGAP005910-PA 7227.FBpp0302863
NOG04201:	7165.AGAP009461-PC 7227.FBpp0079676
NOG04202:	7227.FBpp0297994 7165.AGAP004670-PA
NOG04203:	7227.FBpp0111722 7165.AGAP011437-PA
NOG04204:	7165.AGAP000703-PA 7227.FBpp0289692
NOG04205:	7165.AGAP011034-PA 7227.FBpp0303192
NOG04206:	7227.FBpp0070371 7165.AGAP002419-PA 7227.FBpp0301778
NOG04207:	7165.AGAP012410-PA 7227.FBpp0078113
NOG04208:	7227.FBpp0082676 7165.AGAP001982-PA
NOG04209:	7165.AGAP000056-PA 7227.FBpp0303179
NOG04210:	7165.AGAP007791-PB 7227.FBpp0079009
NOG04211:	7227.FBpp0074662 7165.AGAP002481-PA
NOG04212:	7227.FBpp0305946 7165.AGAP004699-PA
NOG04213:	7165.AGAP008415-PA 7227.FBpp0080615
NOG04214:	7227.FBpp0083575 7165.AGAP008975-PA
NOG04215:	7165.AGAP002567-PA 7227.FBpp0085582
NOG04216:	7227.FBpp0082737 7165.AGAP001729-PA
NOG04217:	7227.FBpp0074089 7165.AGAP009453-PA
NOG04218:	7227.FBpp0073791 7165.AGAP003788-PA
NOG04219:	7227.FBpp0073679 7165.AGAP002961-PA
NOG04220:	7165.AGAP011776-PA 7227.FBpp0073067
NOG04221:	7227.FBpp0077154 7165.AGAP010186-PA
NOG04222:	7165.AGAP000941-PB 7227.FBpp0074503
NOG04223:	7165.AGAP010436-PA 7227.FBpp0293288
NOG04224:	7227.FBpp0074844 7165.AGAP011603-PA
NOG04225:	7165.AGAP011286-PA 7227.FBpp0086700
NOG04226:	7227.FBpp0074486 7165.AGAP012010-PA
NOG04227:	7165.AGAP001688-PA 7227.FBpp0085763
NOG04228:	7165.AGAP004405-PA 7227.FBpp0083954
NOG04229:	7165.AGAP009915-PA 7227.FBpp0297171
NOG04230:	7227.FBpp0082995 7165.AGAP001146-PA
NOG04231:	7165.AGAP007998-PA 7227.FBpp0302814
NOG04232:	7227.FBpp0289754 7165.AGAP007133-PA
NOG04233:	7227.FBpp0082569 7165.AGAP004023-PA
NOG04234:	7165.AGAP001283-PA 7227.FBpp0083817 7165.AGAP001281-PA
NOG04235:	7227.FBpp0294057 7165.AGAP001090-PA
NOG04236:	7227.FBpp0070110 7165.AGAP002608-PA
NOG04237:	7227.FBpp0075401 7165.AGAP012407-PA
NOG04238:	7227.FBpp0075892 7165.AGAP006050-PA
NOG04239:	7227.FBpp0303585 7165.AGAP003203-PA
NOG04240:	7165.AGAP000394-PA 7227.FBpp0081295
NOG04241:	7165.AGAP008652-PA 7227.FBpp0077277
NOG04242:	7227.FBpp0083678 7165.AGAP011812-PA
NOG04243:	7227.FBpp0088493 7165.AGAP005928-PA
NOG04244:	7227.FBpp0304761 7165.AGAP012275-PA 7227.FBpp0073425
NOG04245:	7165.AGAP001110-PA 7227.FBpp0070808
NOG04246:	7227.FBpp0080732 7165.AGAP008537-PA
NOG04247:	7165.AGAP007567-PA 7227.FBpp0087520
NOG04248:	7227.FBpp0079118 7165.AGAP008632-PA
NOG04249:	7227.FBpp0072071 7165.AGAP007604-PA
NOG04250:	7165.AGAP004320-PA 7227.FBpp0293271
NOG04251:	7165.AGAP005433-PA 7227.FBpp0074903
NOG04252:	7227.FBpp0079609 7165.AGAP005144-PA
NOG04253:	7165.AGAP009632-PA 7227.FBpp0110174
NOG04254:	7165.AGAP009954-PA 7227.FBpp0303035
NOG04255:	7227.FBpp0303196 7165.AGAP000823-PA
NOG04256:	7227.FBpp0288890 7165.AGAP000124-PA
NOG04257:	7165.AGAP011959-PA 7227.FBpp0088961
NOG04258:	7165.AGAP005883-PA 7227.FBpp0075054
NOG04259:	7227.FBpp0087637 7165.AGAP007050-PA
NOG04260:	7165.AGAP001636-PA 7227.FBpp0083089
NOG04261:	7227.FBpp0072078 7165.AGAP007709-PA
NOG04262:	7227.FBpp0085146 7165.AGAP001627-PA
NOG04263:	7227.FBpp0074660 7165.AGAP004682-PA
NOG04264:	7165.AGAP002467-PA 7227.FBpp0081508
NOG04265:	7165.AGAP011281-PA 7227.FBpp0304088
NOG04266:	7165.AGAP000702-PA 7227.FBpp0303594
NOG04267:	7227.FBpp0080817 7165.AGAP009866-PA
NOG04268:	7165.AGAP000860-PA 7227.FBpp0302935
NOG04269:	7227.FBpp0271831 7165.AGAP001475-PA
NOG04270:	7165.AGAP008432-PA 7227.FBpp0085407
NOG04271:	7165.AGAP010563-PA 7227.FBpp0099766
NOG04272:	7227.FBpp0073979 7165.AGAP013143-PA
NOG04273:	7165.AGAP006270-PA 7227.FBpp0085320
NOG04274:	7165.AGAP003769-PA 7227.FBpp0078500
NOG04275:	7227.FBpp0083245 7165.AGAP002627-PA
NOG04276:	7165.AGAP002682-PB 7227.FBpp0081541
NOG04277:	7227.FBpp0072494 7165.AGAP005549-PA
NOG04278:	7227.FBpp0289604 7165.AGAP000009-PA
NOG04279:	7165.AGAP009510-PA 7227.FBpp0079640
NOG04280:	7165.AGAP008165-PC 7227.FBpp0080749
NOG04281:	7165.AGAP007511-PA 7227.FBpp0072475
NOG04282:	7165.AGAP010884-PA 7227.FBpp0297683
NOG04283:	7165.AGAP000106-PA 7227.FBpp0078759
NOG04284:	7165.AGAP007596-PA 7227.FBpp0087869
NOG04285:	7165.AGAP001069-PA 7227.FBpp0082571
NOG04286:	7165.AGAP007393-PA 7227.FBpp0087164
NOG04287:	7227.FBpp0297544 7165.AGAP004483-PA
NOG04288:	7227.FBpp0072181 7165.AGAP011943-PA
NOG04289:	7165.AGAP008544-PA 7165.AGAP005907-PA 7165.AGAP009159-PA 7227.FBpp0111986 7227.FBpp0083205 7227.FBpp0072262 7165.AGAP028059-PA 7165.AGAP008545-PA 7165.AGAP028140-PA 7165.AGAP000907-PA 7227.FBpp0082094
NOG04290:	7165.AGAP005139-PA 7227.FBpp0075739
NOG04291:	7227.FBpp0076602 7165.AGAP007580-PA
NOG04292:	7227.FBpp0303334 7165.AGAP000844-PA
NOG04293:	7227.FBpp0078393 7165.AGAP002413-PA
NOG04294:	7227.FBpp0073449 7165.AGAP000788-PA
NOG04295:	7165.AGAP000763-PA 7227.FBpp0303260
NOG04296:	7227.FBpp0085380 7165.AGAP006280-PA
NOG04297:	7165.AGAP002129-PA 7227.FBpp0085222
NOG04298:	7227.FBpp0079789 7165.AGAP008858-PA
NOG04299:	7227.FBpp0292773 7165.AGAP004358-PA
NOG04300:	7165.AGAP002757-PA 7227.FBpp0081553
NOG04301:	7227.FBpp0077450 7165.AGAP007988-PA
NOG04302:	7227.FBpp0074808 7165.AGAP012408-PA
NOG04303:	7165.AGAP002194-PA 7227.FBpp0111486
NOG04304:	7165.AGAP007903-PA 7227.FBpp0290531
NOG04305:	7227.FBpp0305421 7165.AGAP011609-PA 7165.AGAP011613-PA
NOG04306:	7165.AGAP000862-PA 7227.FBpp0070057
NOG04307:	7227.FBpp0074044 7165.AGAP000393-PA
NOG04308:	7227.FBpp0291154 7165.AGAP003572-PA
NOG04309:	7227.FBpp0088886 7165.AGAP008321-PA
NOG04310:	7165.AGAP003814-PA 7227.FBpp0079897
NOG04311:	7165.AGAP011897-PA 7227.FBpp0293708
NOG04312:	7165.AGAP005815-PA 7227.FBpp0076598
NOG04313:	7227.FBpp0297625 7165.AGAP000969-PB
NOG04314:	7227.FBpp0292667 7165.AGAP004169-PB
NOG04315:	7227.FBpp0070931 7165.AGAP003928-PA
NOG04316:	7165.AGAP002539-PB 7227.FBpp0110478
NOG04317:	7227.FBpp0303756 7165.AGAP010067-PA
NOG04318:	7227.FBpp0303473 7165.AGAP008026-PA
NOG04319:	7165.AGAP004374-PA 7227.FBpp0083070
NOG04320:	7165.AGAP004933-PA 7227.FBpp0303962
NOG04321:	7165.AGAP008376-PA 7227.FBpp0303669
NOG04322:	7165.AGAP012123-PA 7227.FBpp0075864
NOG04323:	7227.FBpp0304261 7165.AGAP007724-PB
NOG04324:	7165.AGAP006820-PA 7227.FBpp0070351
NOG04325:	7165.AGAP002275-PA 7227.FBpp0289508
NOG04326:	7165.AGAP012121-PA 7227.FBpp0075865
NOG04327:	7227.FBpp0070227 7165.AGAP003293-PA
NOG04328:	7227.FBpp0080659 7165.AGAP007921-PA
NOG04329:	7165.AGAP012140-PA 7227.FBpp0086098
NOG04330:	7227.FBpp0079538 7165.AGAP010253-PA
NOG04331:	7165.AGAP001759-PA 7227.FBpp0301099
NOG04332:	7165.AGAP004144-PA 7227.FBpp0293022
NOG04333:	7227.FBpp0080989 7165.AGAP008414-PA
NOG04334:	7227.FBpp0086617 7165.AGAP005345-PA
NOG04335:	7165.AGAP005576-PA 7227.FBpp0305104
NOG04336:	7165.AGAP001224-PA 7227.FBpp0083105
NOG04337:	7165.AGAP001272-PA 7227.FBpp0083248
NOG04338:	7165.AGAP004099-PA 7227.FBpp0081525
NOG04339:	7165.AGAP007096-PA 7227.FBpp0304216
NOG04340:	7227.FBpp0073803 7165.AGAP003781-PA 7165.AGAP003780-PA 7227.FBpp0073804
NOG04341:	7227.FBpp0082802 7165.AGAP001309-PA
NOG04342:	7227.FBpp0070317 7165.AGAP004752-PA
NOG04343:	7227.FBpp0083505 7165.AGAP002291-PA
NOG04344:	7227.FBpp0082507 7165.AGAP001363-PA
NOG04345:	7165.AGAP001703-PA 7227.FBpp0083502
NOG04346:	7165.AGAP000428-PA 7227.FBpp0070475
NOG04347:	7165.AGAP008317-PC 7227.FBpp0079237
NOG04348:	7165.AGAP005961-PA 7227.FBpp0072595
NOG04349:	7227.FBpp0291243 7165.AGAP002814-PB
NOG04350:	7165.AGAP003111-PA 7227.FBpp0082404
NOG04351:	7227.FBpp0073200 7165.AGAP010336-PA
NOG04352:	7165.AGAP005375-PA 7227.FBpp0070409
NOG04353:	7165.AGAP008528-PC 7227.FBpp0073717
NOG04354:	7165.AGAP002663-PA 7227.FBpp0084437
NOG04355:	7227.FBpp0075534 7165.AGAP011880-PA
NOG04356:	7165.AGAP008324-PA 7227.FBpp0079818
NOG04357:	7227.FBpp0071259 7165.AGAP010594-PA
NOG04358:	7165.AGAP002257-PA 7227.FBpp0303183 7227.FBpp0297988
NOG04359:	7165.AGAP001651-PA 7227.FBpp0083860
NOG04360:	7227.FBpp0077107 7165.AGAP010872-PA
NOG04361:	7165.AGAP002141-PA 7227.FBpp0305592
NOG04362:	7227.FBpp0289333 7165.AGAP009959-PA
NOG04363:	7227.FBpp0080728 7165.AGAP007868-PA
NOG04364:	7227.FBpp0079481 7165.AGAP011079-PA
NOG04365:	7227.FBpp0099611 7165.AGAP004554-PA
NOG04366:	7227.FBpp0071307 7165.AGAP001721-PA
NOG04367:	7227.FBpp0078342 7165.AGAP001902-PA
NOG04368:	7165.AGAP000456-PA 7227.FBpp0112179
NOG04369:	7165.AGAP010551-PA 7227.FBpp0072271
NOG04370:	7227.FBpp0079637 7165.AGAP009172-PA 7227.FBpp0289398
NOG04371:	7165.AGAP006528-PA 7227.FBpp0303222
NOG04372:	7227.FBpp0301570 7165.AGAP004824-PA
NOG04373:	7165.AGAP012018-PA 7227.FBpp0304961
NOG04374:	7165.AGAP009980-PA 7227.FBpp0079496
NOG04375:	7165.AGAP000019-PA 7227.FBpp0303134
NOG04376:	7227.FBpp0087084 7165.AGAP010624-PA
NOG04377:	7227.FBpp0076785 7165.AGAP005557-PA
NOG04378:	7165.AGAP001043-PA 7227.FBpp0089035
NOG04379:	7227.FBpp0086351 7165.AGAP005165-PA
NOG04380:	7165.AGAP006932-PA 7227.FBpp0304889
NOG04381:	7227.FBpp0300616 7165.AGAP011139-PA
NOG04382:	7227.FBpp0073872 7165.AGAP002693-PA
NOG04383:	7165.AGAP005294-PA 7227.FBpp0078310
NOG04384:	7165.AGAP006243-PA 7227.FBpp0076085
NOG04385:	7165.AGAP008360-PA 7227.FBpp0079183
NOG04386:	7227.FBpp0087739 7165.AGAP008247-PA 7165.AGAP012476-PA
NOG04387:	7165.AGAP001623-PA 7227.FBpp0288490
NOG04388:	7227.FBpp0076523 7165.AGAP005712-PB
NOG04389:	7165.AGAP007104-PA 7227.FBpp0087266
NOG04390:	7165.AGAP002531-PA 7227.FBpp0305777
NOG04391:	7165.AGAP009593-PA 7227.FBpp0079464
NOG04392:	7227.FBpp0082829 7165.AGAP004662-PB
NOG04393:	7227.FBpp0290700 7165.AGAP004066-PA
NOG04394:	7165.AGAP001235-PA 7227.FBpp0083921
NOG04395:	7227.FBpp0303790 7165.AGAP007769-PA
NOG04396:	7227.FBpp0071015 7165.AGAP001185-PA 7165.AGAP001966-PA
NOG04397:	7165.AGAP003923-PA 7227.FBpp0305840
NOG04398:	7165.AGAP011069-PA 7165.AGAP012664-PA 7227.FBpp0074614
NOG04399:	7165.AGAP000170-PA 7227.FBpp0073949
NOG04400:	7227.FBpp0079894 7165.AGAP009497-PA
NOG04401:	7227.FBpp0072112 7165.AGAP007420-PA
NOG04402:	7165.AGAP000005-PA 7227.FBpp0288398
