##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/1117.cyanobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/1117.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/1117.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	449447.MAE_31170 1148.SYNGTS_0814
NOG04078:	1148.SYNGTS_1606 449447.MAE_22910
NOG04079:	449447.MAE_03210 1148.SYNGTS_1715
NOG04080:	449447.MAE_53850 1148.SYNGTS_2889
NOG04081:	1148.SYNGTS_0973 449447.MAE_53930
NOG04082:	449447.MAE_44850 1148.SYNGTS_1654
NOG04083:	449447.MAE_17290 1148.SYNGTS_0293
NOG04084:	449447.MAE_12590 1148.SYNGTS_2899
NOG04085:	1148.SYNGTS_2622 449447.MAE_50240
NOG04086:	1148.SYNGTS_2225 449447.MAE_47890
NOG04087:	449447.MAE_10270 1148.SYNGTS_1298
NOG04088:	449447.MAE_54440 1148.SYNGTS_2802
NOG04089:	1148.SYNGTS_2829 449447.MAE_39110
NOG04090:	449447.MAE_43330 1148.SYNGTS_0540
NOG04091:	1148.SYNGTS_0512 449447.MAE_53110
NOG04092:	449447.MAE_30430 1148.SYNGTS_0832
NOG04093:	449447.MAE_03130 1148.SYNGTS_2871
NOG04094:	1148.SYNGTS_0578 449447.MAE_47970
NOG04095:	449447.MAE_04450 1148.SYNGTS_2417
NOG04096:	1148.SYNGTS_2007 449447.MAE_38710
NOG04097:	1148.SYNGTS_0375 449447.MAE_14180
NOG04098:	449447.MAE_60860 1148.SYNGTS_0660
NOG04099:	1148.SYNGTS_0751 449447.MAE_52540
NOG04100:	1148.SYNGTS_2782 449447.MAE_46190
NOG04101:	1148.SYNGTS_2876 449447.MAE_06460
NOG04102:	1148.SYNGTS_0310 449447.MAE_46230
NOG04103:	1148.SYNGTS_0131 449447.MAE_48380
NOG04104:	1148.SYNGTS_0589 449447.MAE_21280
NOG04105:	449447.MAE_43640 1148.SYNGTS_0877
NOG04106:	1148.SYNGTS_0504 449447.MAE_21460
NOG04107:	1148.SYNGTS_0935 449447.MAE_14470
NOG04108:	1148.SYNGTS_2119 449447.MAE_37390
NOG04109:	1148.SYNGTS_1600 449447.MAE_08240
NOG04110:	1148.SYNGTS_0920 449447.MAE_13370
NOG04111:	449447.MAE_48260 1148.SYNGTS_1149
NOG04112:	449447.MAE_61200 1148.SYNGTS_2892
NOG04113:	449447.MAE_05580 1148.SYNGTS_2958
NOG04114:	449447.MAE_14890 1148.SYNGTS_1373
NOG04115:	449447.MAE_18280 1148.SYNGTS_1264
NOG04116:	1148.SYNGTS_0672 449447.MAE_45960
NOG04117:	1148.SYNGTS_1374 449447.MAE_55990
NOG04118:	449447.MAE_24810 1148.SYNGTS_2875
NOG04119:	1148.SYNGTS_0459 449447.MAE_24320
NOG04120:	449447.MAE_15540 1148.SYNGTS_0784
NOG04121:	449447.MAE_53390 1148.SYNGTS_0083
NOG04122:	449447.MAE_47020 1148.SYNGTS_1857
NOG04123:	449447.MAE_56370 1148.SYNGTS_1823
NOG04124:	1148.SYNGTS_1565 449447.MAE_05440
NOG04125:	449447.MAE_15370 1148.SYNGTS_1906
NOG04126:	1148.SYNGTS_2907 449447.MAE_62680
NOG04127:	1148.SYNGTS_2466 449447.MAE_52690
NOG04128:	1148.SYNGTS_2851 449447.MAE_25820
NOG04129:	1148.SYNGTS_0172 449447.MAE_61750
NOG04130:	449447.MAE_26030 1148.SYNGTS_2192
NOG04131:	1148.SYNGTS_1525 449447.MAE_44300
NOG04132:	449447.MAE_54100 1148.SYNGTS_2884
NOG04133:	449447.MAE_15200 1148.SYNGTS_0080
NOG04134:	449447.MAE_58610 1148.SYNGTS_1681
NOG04135:	1148.SYNGTS_2312 449447.MAE_48120
NOG04136:	449447.MAE_62060 1148.SYNGTS_0903
NOG04137:	1148.SYNGTS_2713 449447.MAE_29870
NOG04138:	1148.SYNGTS_0929 449447.MAE_59630
NOG04139:	449447.MAE_14830 1148.SYNGTS_0100
NOG04140:	449447.MAE_47570 1148.SYNGTS_0864
NOG04141:	1148.SYNGTS_1585 449447.MAE_24350
NOG04142:	449447.MAE_47100 1148.SYNGTS_0134
NOG04143:	1148.SYNGTS_2378 449447.MAE_18380
NOG04144:	449447.MAE_39840 1148.SYNGTS_3165
NOG04145:	1148.SYNGTS_0287 449447.MAE_06700
NOG04146:	1148.SYNGTS_2559 449447.MAE_44360
NOG04147:	1148.SYNGTS_2442 449447.MAE_45940
NOG04148:	449447.MAE_06190 1148.SYNGTS_2162
NOG04149:	1148.SYNGTS_3005 449447.MAE_62660
NOG04150:	449447.MAE_34870 1148.SYNGTS_3102
NOG04151:	449447.MAE_12050 1148.SYNGTS_0707
NOG04152:	449447.MAE_38800 1148.SYNGTS_0549
NOG04153:	1148.SYNGTS_3117 449447.MAE_02000
NOG04154:	1148.SYNGTS_0467 449447.MAE_48990
NOG04155:	1148.SYNGTS_1959 449447.MAE_06720
NOG04156:	1148.SYNGTS_2614 449447.MAE_21240
NOG04157:	449447.MAE_25390 1148.SYNGTS_2867
NOG04158:	1148.SYNGTS_1119 449447.MAE_01200
NOG04159:	449447.MAE_37730 1148.SYNGTS_1682
NOG04160:	1148.SYNGTS_3050 449447.MAE_59010
NOG04161:	449447.MAE_39300 1148.SYNGTS_0058
NOG04162:	449447.MAE_31280 1148.SYNGTS_0693
NOG04163:	449447.MAE_60600 1148.SYNGTS_1891
NOG04164:	449447.MAE_21380 1148.SYNGTS_2475
NOG04165:	449447.MAE_42850 1148.SYNGTS_2408
NOG04166:	1148.SYNGTS_1761 449447.MAE_36460
NOG04167:	1148.SYNGTS_1995 449447.MAE_57190
NOG04168:	1148.SYNGTS_2653 449447.MAE_41640
NOG04169:	449447.MAE_01840 1148.SYNGTS_1434
NOG04170:	1148.SYNGTS_2051 449447.MAE_11430
NOG04171:	1148.SYNGTS_2289 449447.MAE_08600
NOG04172:	449447.MAE_05960 1148.SYNGTS_0264
NOG04173:	1148.SYNGTS_2975 449447.MAE_55900
NOG04174:	1148.SYNGTS_0933 449447.MAE_25420
NOG04175:	449447.MAE_24600 1148.SYNGTS_2545
NOG04176:	449447.MAE_30020 1148.SYNGTS_1412
NOG04177:	449447.MAE_50290 1148.SYNGTS_2064
NOG04178:	1148.SYNGTS_1910 449447.MAE_30090
NOG04179:	1148.SYNGTS_2938 449447.MAE_12600
NOG04180:	449447.MAE_21250 1148.SYNGTS_2960
NOG04181:	449447.MAE_56460 1148.SYNGTS_2114
NOG04182:	1148.SYNGTS_1640 449447.MAE_00820
NOG04183:	449447.MAE_43170 1148.SYNGTS_0086
NOG04184:	449447.MAE_34910 1148.SYNGTS_2390
NOG04185:	449447.MAE_45590 1148.SYNGTS_0727
NOG04186:	449447.MAE_53080 1148.SYNGTS_2251
NOG04187:	449447.MAE_48210 1148.SYNGTS_2401
NOG04188:	1148.SYNGTS_2180 449447.MAE_11290
NOG04189:	1148.SYNGTS_2920 449447.MAE_56430
NOG04190:	1148.SYNGTS_0719 449447.MAE_18890
NOG04191:	1148.SYNGTS_2781 449447.MAE_12950
NOG04192:	1148.SYNGTS_0655 449447.MAE_24470
NOG04193:	449447.MAE_07140 1148.SYNGTS_1214
NOG04194:	1148.SYNGTS_2316 449447.MAE_23330
NOG04195:	1148.SYNGTS_1094 449447.MAE_23480
NOG04196:	449447.MAE_50650 1148.SYNGTS_3122
NOG04197:	449447.MAE_56380 1148.SYNGTS_1430
NOG04198:	1148.SYNGTS_2843 449447.MAE_20010
NOG04199:	449447.MAE_02590 1148.SYNGTS_1825
NOG04200:	449447.MAE_30540 1148.SYNGTS_1986
NOG04201:	449447.MAE_53050 1148.SYNGTS_2009
NOG04202:	449447.MAE_12360 1148.SYNGTS_2835
NOG04203:	1148.SYNGTS_1164 449447.MAE_05240
NOG04204:	449447.MAE_57250 1148.SYNGTS_0757
NOG04205:	1148.SYNGTS_2858 449447.MAE_42250
NOG04206:	1148.SYNGTS_0875 449447.MAE_06090
NOG04207:	1148.SYNGTS_0630 449447.MAE_14370
NOG04208:	449447.MAE_24310 1148.SYNGTS_1124
NOG04209:	1148.SYNGTS_3145 449447.MAE_42480
NOG04210:	1148.SYNGTS_0546 449447.MAE_12680
NOG04211:	449447.MAE_05380 1148.SYNGTS_0077
NOG04212:	1148.SYNGTS_0364 449447.MAE_59000
NOG04213:	449447.MAE_53240 1148.SYNGTS_2277
NOG04214:	449447.MAE_06540 1148.SYNGTS_2691
NOG04215:	1148.SYNGTS_2811 449447.MAE_38140
NOG04216:	1148.SYNGTS_1424 449447.MAE_20470
NOG04217:	449447.MAE_26590 1148.SYNGTS_0902
NOG04218:	449447.MAE_46460 1148.SYNGTS_2621
NOG04219:	1148.SYNGTS_0431 449447.MAE_39220
NOG04220:	449447.MAE_14450 1148.SYNGTS_0732
NOG04221:	449447.MAE_20290 1148.SYNGTS_1091
NOG04222:	449447.MAE_54500 1148.SYNGTS_0791
NOG04223:	449447.MAE_14230 1148.SYNGTS_2057
NOG04224:	1148.SYNGTS_2268 449447.MAE_32970
NOG04225:	1148.SYNGTS_0715 449447.MAE_22950
NOG04226:	449447.MAE_28060 1148.SYNGTS_2033
NOG04227:	1148.SYNGTS_1245 449447.MAE_21630
NOG04228:	1148.SYNGTS_1507 449447.MAE_33610
NOG04229:	1148.SYNGTS_1182 449447.MAE_17060
NOG04230:	1148.SYNGTS_0224 449447.MAE_54130
NOG04231:	449447.MAE_16070 1148.SYNGTS_3151
NOG04232:	449447.MAE_41850 1148.SYNGTS_2654
NOG04233:	449447.MAE_50040 1148.SYNGTS_0855
NOG04234:	449447.MAE_00200 1148.SYNGTS_2253
NOG04235:	449447.MAE_09700 1148.SYNGTS_2962
NOG04236:	1148.SYNGTS_2305 449447.MAE_44970
NOG04237:	1148.SYNGTS_0670 449447.MAE_48130
NOG04238:	1148.SYNGTS_1025 449447.MAE_45050
NOG04239:	1148.SYNGTS_3001 449447.MAE_31240
NOG04240:	449447.MAE_11780 1148.SYNGTS_1710
NOG04241:	1148.SYNGTS_0474 449447.MAE_05900
NOG04242:	1148.SYNGTS_1852 449447.MAE_23130
NOG04243:	1148.SYNGTS_1276 449447.MAE_60140
NOG04244:	449447.MAE_50310 1148.SYNGTS_2218
NOG04245:	1148.SYNGTS_0452 449447.MAE_33440
NOG04246:	1148.SYNGTS_1018 449447.MAE_15310
NOG04247:	1148.SYNGTS_1689 449447.MAE_54560
NOG04248:	449447.MAE_62000 1148.SYNGTS_1463
NOG04249:	1148.SYNGTS_2454 449447.MAE_06000
NOG04250:	449447.MAE_18350 1148.SYNGTS_2375
NOG04251:	449447.MAE_13650 1148.SYNGTS_2618
NOG04252:	1148.SYNGTS_1290 449447.MAE_45730
NOG04253:	1148.SYNGTS_2125 449447.MAE_36130
NOG04254:	449447.MAE_23650 1148.SYNGTS_0608
NOG04255:	449447.MAE_63090 449447.MAE_60850 1148.SYNGTS_1294
NOG04256:	1148.SYNGTS_0986 449447.MAE_03850
NOG04257:	1148.SYNGTS_2480 449447.MAE_33690
NOG04258:	449447.MAE_25720 1148.SYNGTS_1583
NOG04259:	1148.SYNGTS_2608 449447.MAE_20490
NOG04260:	1148.SYNGTS_2365 449447.MAE_32120
NOG04261:	449447.MAE_18410 1148.SYNGTS_2485
NOG04262:	449447.MAE_13030 1148.SYNGTS_3167
NOG04263:	449447.MAE_54540 1148.SYNGTS_2468
NOG04264:	449447.MAE_02100 1148.SYNGTS_2354
NOG04265:	1148.SYNGTS_0886 449447.MAE_57810
NOG04266:	1148.SYNGTS_0644 449447.MAE_58180
NOG04267:	449447.MAE_50600 1148.SYNGTS_2836
NOG04268:	1148.SYNGTS_1454 449447.MAE_35650
NOG04269:	449447.MAE_53600 1148.SYNGTS_2202
NOG04270:	1148.SYNGTS_0238 449447.MAE_22010
NOG04271:	449447.MAE_21900 1148.SYNGTS_0192 449447.MAE_27260
NOG04272:	1148.SYNGTS_0010 449447.MAE_13280
NOG04273:	449447.MAE_18360 1148.SYNGTS_2376
NOG04274:	1148.SYNGTS_1592 449447.MAE_33980
NOG04275:	449447.MAE_05990 1148.SYNGTS_0073
NOG04276:	449447.MAE_50590 1148.SYNGTS_0406
NOG04277:	449447.MAE_36610 1148.SYNGTS_0846
NOG04278:	449447.MAE_36700 1148.SYNGTS_2555
NOG04279:	449447.MAE_43670 1148.SYNGTS_1950
NOG04280:	1148.SYNGTS_1442 449447.MAE_19470
NOG04281:	449447.MAE_25160 1148.SYNGTS_2982
NOG04282:	449447.MAE_43980 1148.SYNGTS_1437
NOG04283:	1148.SYNGTS_0782 449447.MAE_24410
NOG04284:	449447.MAE_12890 1148.SYNGTS_1092
NOG04285:	1148.SYNGTS_1563 449447.MAE_37470
NOG04286:	1148.SYNGTS_3105 449447.MAE_07150
NOG04287:	449447.MAE_25130 1148.SYNGTS_1204
NOG04288:	1148.SYNGTS_1429 449447.MAE_37350
NOG04289:	449447.MAE_60890 1148.SYNGTS_0468
NOG04290:	449447.MAE_24850 1148.SYNGTS_3076
NOG04291:	1148.SYNGTS_0214 449447.MAE_61020
NOG04292:	449447.MAE_15060 1148.SYNGTS_2221
NOG04293:	1148.SYNGTS_2006 449447.MAE_09600
NOG04294:	1148.SYNGTS_0807 449447.MAE_06210
NOG04295:	1148.SYNGTS_2597 449447.MAE_31430
NOG04296:	1148.SYNGTS_1991 449447.MAE_23370
NOG04297:	449447.MAE_57930 1148.SYNGTS_2242
NOG04298:	449447.MAE_52120 1148.SYNGTS_1866
NOG04299:	449447.MAE_31900 1148.SYNGTS_2870
NOG04300:	449447.MAE_17660 1148.SYNGTS_3157
NOG04301:	449447.MAE_10110 1148.SYNGTS_2707
NOG04302:	1148.SYNGTS_1696 449447.MAE_14730
NOG04303:	1148.SYNGTS_1760 449447.MAE_17390
NOG04304:	449447.MAE_03000 1148.SYNGTS_1647
NOG04305:	1148.SYNGTS_0806 449447.MAE_42270
NOG04306:	1148.SYNGTS_1457 449447.MAE_24990
NOG04307:	1148.SYNGTS_3040 449447.MAE_16250
NOG04308:	449447.MAE_16940 1148.SYNGTS_1115
NOG04309:	449447.MAE_23940 1148.SYNGTS_2453
NOG04310:	1148.SYNGTS_2074 449447.MAE_06530
NOG04311:	1148.SYNGTS_0447 449447.MAE_56900
NOG04312:	1148.SYNGTS_3048 449447.MAE_08070
NOG04313:	1148.SYNGTS_2955 449447.MAE_02360
NOG04314:	1148.SYNGTS_0735 449447.MAE_37870
NOG04315:	449447.MAE_50060 1148.SYNGTS_1306
NOG04316:	1148.SYNGTS_1837 449447.MAE_03420
NOG04317:	449447.MAE_18170 1148.SYNGTS_0209 449447.MAE_02210
NOG04318:	449447.MAE_29120 1148.SYNGTS_1805
NOG04319:	1148.SYNGTS_3078 449447.MAE_03390
NOG04320:	1148.SYNGTS_1503 449447.MAE_53150
NOG04321:	449447.MAE_18240 1148.SYNGTS_1360
NOG04322:	1148.SYNGTS_2493 449447.MAE_17440
NOG04323:	449447.MAE_01720 1148.SYNGTS_2356
NOG04324:	1148.SYNGTS_2473 449447.MAE_50380
NOG04325:	1148.SYNGTS_3119 449447.MAE_42630
NOG04326:	1148.SYNGTS_0736 449447.MAE_14970
NOG04327:	1148.SYNGTS_2403 449447.MAE_26640
NOG04328:	1148.SYNGTS_0421 449447.MAE_01900
NOG04329:	1148.SYNGTS_1281 449447.MAE_04620
NOG04330:	449447.MAE_18900 1148.SYNGTS_0718
NOG04331:	1148.SYNGTS_0856 449447.MAE_50030
NOG04332:	449447.MAE_49560 1148.SYNGTS_2972
NOG04333:	449447.MAE_44950 1148.SYNGTS_1402
NOG04334:	1148.SYNGTS_2150 449447.MAE_53860
NOG04335:	1148.SYNGTS_0273 449447.MAE_18150
NOG04336:	449447.MAE_19460 1148.SYNGTS_0694
NOG04337:	1148.SYNGTS_0571 449447.MAE_08230
NOG04338:	449447.MAE_38680 1148.SYNGTS_2220
NOG04339:	449447.MAE_53870 1148.SYNGTS_2197
NOG04340:	1148.SYNGTS_2793 449447.MAE_08260
NOG04341:	1148.SYNGTS_0937 449447.MAE_31380
NOG04342:	1148.SYNGTS_1697 449447.MAE_24220
NOG04343:	449447.MAE_43400 1148.SYNGTS_2694
NOG04344:	1148.SYNGTS_0151 449447.MAE_27050
NOG04345:	449447.MAE_15270 1148.SYNGTS_1509
NOG04346:	449447.MAE_53630 1148.SYNGTS_1573 449447.MAE_09240
NOG04347:	449447.MAE_00920 1148.SYNGTS_1512
NOG04348:	449447.MAE_18550 1148.SYNGTS_1821
NOG04349:	1148.SYNGTS_1334 449447.MAE_37270
NOG04350:	1148.SYNGTS_2993 449447.MAE_40260
NOG04351:	449447.MAE_50340 1148.SYNGTS_2539
NOG04352:	449447.MAE_30590 1148.SYNGTS_1210
NOG04353:	449447.MAE_27970 1148.SYNGTS_1107
NOG04354:	449447.MAE_37840 1148.SYNGTS_0257
NOG04355:	449447.MAE_39130 1148.SYNGTS_2036
NOG04356:	449447.MAE_50780 1148.SYNGTS_0651
NOG04357:	449447.MAE_19480 1148.SYNGTS_1441
NOG04358:	1148.SYNGTS_0416 449447.MAE_57850
NOG04359:	1148.SYNGTS_1308 449447.MAE_55200
NOG04360:	1148.SYNGTS_2038 449447.MAE_40030
NOG04361:	449447.MAE_38640 449447.MAE_56480 1148.SYNGTS_2461 449447.MAE_60060 449447.MAE_24070
NOG04362:	449447.MAE_44310 1148.SYNGTS_0570
NOG04363:	449447.MAE_26400 1148.SYNGTS_0924
NOG04364:	449447.MAE_57120 1148.SYNGTS_2655
NOG04365:	1148.SYNGTS_1352 449447.MAE_59800
NOG04366:	449447.MAE_40000 1148.SYNGTS_2332
NOG04367:	449447.MAE_61640 1148.SYNGTS_2189
NOG04368:	449447.MAE_16860 1148.SYNGTS_1909
NOG04369:	1148.SYNGTS_0772 449447.MAE_57400
NOG04370:	1148.SYNGTS_1868 449447.MAE_36110
NOG04371:	449447.MAE_54980 1148.SYNGTS_2259
NOG04372:	1148.SYNGTS_1047 449447.MAE_60940
NOG04373:	1148.SYNGTS_1193 449447.MAE_26840
NOG04374:	1148.SYNGTS_0384 449447.MAE_52350
NOG04375:	1148.SYNGTS_2207 449447.MAE_40620
NOG04376:	1148.SYNGTS_2662 449447.MAE_05540
NOG04377:	1148.SYNGTS_1622 449447.MAE_43710
NOG04378:	449447.MAE_16230 1148.SYNGTS_3039
NOG04379:	1148.SYNGTS_1040 449447.MAE_33900
NOG04380:	1148.SYNGTS_1014 449447.MAE_55360
NOG04381:	449447.MAE_01980 1148.SYNGTS_2602
NOG04382:	449447.MAE_45610 1148.SYNGTS_2457
NOG04383:	449447.MAE_39160 1148.SYNGTS_3164
NOG04384:	1148.SYNGTS_1859 449447.MAE_47550
NOG04385:	1148.SYNGTS_2269 449447.MAE_39960
NOG04386:	449447.MAE_52650 1148.SYNGTS_2127
NOG04387:	1148.SYNGTS_1195 449447.MAE_13670
NOG04388:	449447.MAE_53130 1148.SYNGTS_3032
NOG04389:	449447.MAE_01090 1148.SYNGTS_1522
NOG04390:	1148.SYNGTS_2467 449447.MAE_38500
NOG04391:	449447.MAE_03910 1148.SYNGTS_2686
NOG04392:	1148.SYNGTS_0269 449447.MAE_52710
NOG04393:	1148.SYNGTS_2940 449447.MAE_56610
NOG04394:	1148.SYNGTS_2362 449447.MAE_45060
NOG04395:	449447.MAE_19370 1148.SYNGTS_0574
NOG04396:	1148.SYNGTS_2359 449447.MAE_58410
NOG04397:	1148.SYNGTS_3152 449447.MAE_31160
NOG04398:	1148.SYNGTS_2155 449447.MAE_05650
NOG04399:	1148.SYNGTS_1534 449447.MAE_28140
NOG04400:	1148.SYNGTS_3021 449447.MAE_12750
NOG04401:	449447.MAE_18630 1148.SYNGTS_0253
NOG04402:	1148.SYNGTS_0576 449447.MAE_13230
NOG04403:	449447.MAE_60820 1148.SYNGTS_2178
NOG04404:	449447.MAE_20830 1148.SYNGTS_1139
NOG04405:	449447.MAE_01740 1148.SYNGTS_2208
NOG04406:	449447.MAE_46180 1148.SYNGTS_2088
NOG04407:	449447.MAE_07730 1148.SYNGTS_1984
NOG04408:	449447.MAE_41330 1148.SYNGTS_2346
NOG04409:	1148.SYNGTS_0259 449447.MAE_62530
NOG04410:	1148.SYNGTS_2409 449447.MAE_42840
NOG04411:	449447.MAE_26090 1148.SYNGTS_2216
NOG04412:	1148.SYNGTS_1475 449447.MAE_20080
NOG04413:	1148.SYNGTS_1299 449447.MAE_10260
NOG04414:	449447.MAE_20770 1148.SYNGTS_0536
NOG04415:	1148.SYNGTS_1914 449447.MAE_31670
NOG04416:	449447.MAE_24030 1148.SYNGTS_0096
NOG04417:	449447.MAE_09360 1148.SYNGTS_0919
NOG04418:	449447.MAE_51440 1148.SYNGTS_2045
NOG04419:	1148.SYNGTS_2243 449447.MAE_19290
NOG04420:	1148.SYNGTS_0453 449447.MAE_12060
NOG04421:	1148.SYNGTS_2050 449447.MAE_24900
NOG04422:	449447.MAE_53650 1148.SYNGTS_2400
NOG04423:	449447.MAE_03410 1148.SYNGTS_2276
NOG04424:	449447.MAE_07070 1148.SYNGTS_1219
NOG04425:	1148.SYNGTS_2234 449447.MAE_62240
NOG04426:	449447.MAE_57590 1148.SYNGTS_2556
NOG04427:	449447.MAE_38670 1148.SYNGTS_0295
NOG04428:	1148.SYNGTS_1707 449447.MAE_59370
NOG04429:	449447.MAE_60310 1148.SYNGTS_0876 449447.MAE_51690
