##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/29547.epsilonproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/29547.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:50
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/29547.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	85962.HP1020 192222.Cj1607
NOG04027:	85962.HP0774 192222.Cj1271c
NOG04028:	192222.Cj1333 85962.HP0114 192222.Cj1337 192222.Cj1335 192222.Cj1334 192222.Cj1318
NOG04029:	192222.Cj0790 85962.HP1434
NOG04030:	192222.Cj1369 85962.HP1175
NOG04031:	192222.Cj0511 85962.HP1350
NOG04032:	192222.Cj1038 85962.HP1560
NOG04033:	192222.Cj0164c 85962.HP1360
NOG04034:	85962.HP1139 192222.Cj0100
NOG04035:	192222.Cj1007c 85962.HP0284
NOG04036:	85962.HP0366 192222.Cj1294
NOG04037:	192222.Cj1651c 85962.HP1299
NOG04038:	192222.Cj0334 85962.HP1563
NOG04039:	192222.Cj0891c 85962.HP0397
NOG04040:	192222.Cj0775c 85962.HP1153
NOG04041:	192222.Cj0777 85962.HP0911
NOG04042:	192222.Cj0897c 85962.HP0403
NOG04043:	85962.HP0569 192222.Cj0930
NOG04044:	85962.HP1406 192222.Cj1685c
NOG04045:	85962.HP0742 192222.Cj0918c
NOG04046:	85962.HP0794 192222.Cj0192c
NOG04047:	85962.HP0138 192222.Cj0074c
NOG04048:	192222.Cj0409 85962.HP0192
NOG04049:	85962.HP0283 192222.Cj1008c
NOG04050:	192222.Cj1267c 85962.HP0631
NOG04051:	85962.HP0493 192222.Cj0433c
NOG04052:	85962.HP0216 192222.Cj1346c
NOG04053:	85962.HP0269 192222.Cj0458c
NOG04054:	192222.Cj1156 85962.HP0550
NOG04055:	85962.HP0509 192222.Cj1213c
NOG04056:	85962.HP0090 192222.Cj0116
NOG04057:	85962.HP0643 192222.Cj0845c
NOG04058:	85962.HP0828 192222.Cj1204c
NOG04059:	192222.Cj0577c 85962.HP1062
NOG04060:	192222.Cj0835c 85962.HP0779
NOG04061:	85962.HP0352 192222.Cj0319
NOG04062:	192222.Cj1620c 85962.HP0142
NOG04063:	85962.HP0237 192222.Cj0545
NOG04064:	192222.Cj0335 85962.HP0770
NOG04065:	85962.HP0501 192222.Cj0003
NOG04066:	85962.HP0724 192222.Cj0088
NOG04067:	192222.Cj1545c 85962.HP0630
NOG04068:	85962.HP0077 192222.Cj1612
NOG04069:	85962.HP1275 192222.Cj1407c
NOG04070:	85962.HP1168 192222.Cj0917c
NOG04071:	192222.Cj0355c 85962.HP1043
NOG04072:	85962.HP1550 192222.Cj1093c
NOG04073:	85962.HP1494 192222.Cj1641
NOG04074:	192222.Cj0023 85962.HP1112
NOG04075:	85962.HP0360 192222.Cj1131c
NOG04076:	85962.HP0494 192222.Cj0432c
NOG04077:	192222.Cj0640c 85962.HP0617
NOG04078:	85962.HP0370 192222.Cj1290c
NOG04079:	192222.Cj0017c 85962.HP0595
NOG04080:	192222.Cj1288c 85962.HP0476
NOG04081:	192222.Cj1048c 85962.HP0212
NOG04082:	192222.Cj1490c 85962.HP0144
NOG04083:	192222.Cj1058c 85962.HP0829
NOG04084:	192222.Cj0716 85962.HP0134
NOG04085:	85962.HP0364 192222.Cj0231c
NOG04086:	85962.HP1011 192222.Cj0804
NOG04087:	85962.HP1373 192222.Cj0276
NOG04088:	192222.Cj1157 85962.HP0717
NOG04089:	85962.HP0382 192222.Cj0723c
NOG04090:	192222.Cj0087 85962.HP0649
NOG04091:	85962.HP0795 192222.Cj0193c
NOG04092:	85962.HP1585 192222.Cj0698
NOG04093:	85962.HP0885 192222.Cj0801
NOG04094:	192222.Cj1548c 85962.HP1104
NOG04095:	85962.HP1461 192222.Cj0358
NOG04096:	192222.Cj0027 85962.HP0349
NOG04097:	85962.HP1344 192222.Cj0726c
NOG04098:	85962.HP0075 192222.Cj0360
NOG04099:	85962.HP0825 192222.Cj0146c
NOG04100:	85962.HP0372 192222.Cj1292
NOG04101:	85962.HP0655 192222.Cj0129c
NOG04102:	192222.Cj1704c 85962.HP1316
NOG04103:	192222.Cj0536 85962.HP0589
NOG04104:	85962.HP0683 192222.Cj0821
NOG04105:	85962.HP0658 192222.Cj1197c
NOG04106:	192222.Cj1317 85962.HP0178
NOG04107:	85962.HP1050 192222.Cj0134
NOG04108:	85962.HP0088 192222.Cj1001
NOG04109:	192222.Cj1710c 85962.HP1430
NOG04110:	192222.Cj1672c 85962.HP0154
NOG04111:	192222.Cj0684 85962.HP0387
NOG04112:	192222.Cj0542 85962.HP0239
NOG04113:	85962.HP1325 192222.Cj1364c
NOG04114:	192222.Cj1457c 85962.HP0926
NOG04115:	192222.Cj0285c 85962.HP0393
NOG04116:	85962.HP0760 192222.Cj1209
NOG04117:	85962.HP0415 192222.Cj0238
NOG04118:	85962.HP0976 192222.Cj0307
NOG04119:	192222.Cj1101 85962.HP1478
NOG04120:	192222.Cj0537 85962.HP0590
NOG04121:	192222.Cj1455 85962.HP0171
NOG04122:	192222.Cj0314 85962.HP0290
NOG04123:	85962.HP0319 192222.Cj1175c
NOG04124:	192222.Cj0525c 85962.HP1556
NOG04125:	192222.Cj1280c 85962.HP0745
NOG04126:	192222.Cj1655c 192222.Cj1654c 85962.HP1552
NOG04127:	192222.Cj1293 85962.HP0840
NOG04128:	85962.HP1554 192222.Cj1182c
NOG04129:	192222.Cj0802 85962.HP0886
NOG04130:	85962.HP0557 192222.Cj0443
NOG04131:	192222.Cj1595 85962.HP1293
NOG04132:	192222.Cj0028 85962.HP0348
NOG04133:	85962.HP1155 192222.Cj1039
NOG04134:	192222.Cj0551 85962.HP0177
NOG04135:	85962.HP1263 192222.Cj1576c
NOG04136:	85962.HP0768 192222.Cj0161c
NOG04137:	85962.HP0202 192222.Cj0328c
NOG04138:	85962.HP0354 192222.Cj0321
NOG04139:	85962.HP0123 192222.Cj0206
NOG04140:	85962.HP0417 192222.Cj0838c
NOG04141:	192222.Cj1454c 85962.HP0734
NOG04142:	192222.Cj0855 85962.HP0577
NOG04143:	85962.HP1201 192222.Cj0475
NOG04144:	85962.HP0775 192222.Cj1272c
NOG04145:	192222.Cj0644 85962.HP1573
NOG04146:	85962.HP0786 192222.Cj0942c
NOG04147:	192222.Cj0348 85962.HP1278
NOG04148:	85962.HP0422 192222.Cj0764c
NOG04149:	85962.HP0402 192222.Cj0896c
NOG04150:	192222.Cj0704 85962.HP0960
NOG04151:	192222.Cj0369c 85962.HP1508
NOG04152:	192222.Cj1339c 192222.Cj1338c 85962.HP0115 85962.HP0601
NOG04153:	85962.HP1565 192222.Cj0652
NOG04154:	85962.HP1450 192222.Cj0958c
NOG04155:	192222.Cj1088c 85962.HP1545
NOG04156:	192222.Cj1155c 85962.HP1503
NOG04157:	192222.Cj0894c 85962.HP0400
NOG04158:	85962.HP1195 192222.Cj0493
NOG04159:	192222.Cj0372 85962.HP0233
NOG04160:	192222.Cj0956c 85962.HP1452
NOG04161:	192222.Cj0136 85962.HP1048
NOG04162:	192222.Cj0518 85962.HP0210
NOG04163:	192222.Cj0393c 85962.HP0086
NOG04164:	192222.Cj0862c 85962.HP0293
NOG04165:	192222.Cj1403c 85962.HP1346
NOG04166:	192222.Cj1098 85962.HP1084
NOG04167:	85962.HP0497 192222.Cj0935c 192222.Cj0934c 85962.HP0498
NOG04168:	192222.Cj1024c 85962.HP0703
NOG04169:	192222.Cj0631c 85962.HP1248
NOG04170:	85962.HP0389 192222.Cj0169
NOG04171:	85962.HP0707 192222.Cj0693c
NOG04172:	85962.HP0416 192222.Cj1183c
NOG04173:	85962.HP1091 192222.Cj1619
NOG04174:	192222.Cj0338c 85962.HP1470
NOG04175:	85962.HP1126 192222.Cj0112
NOG04176:	85962.HP0399 192222.Cj0893c
NOG04177:	85962.HP1313 192222.Cj1701c
NOG04178:	85962.HP0974 192222.Cj0434
NOG04179:	192222.Cj0992c 85962.HP0665
NOG04180:	192222.Cj1151c 85962.HP0859
NOG04181:	192222.Cj1536c 85962.HP0646
NOG04182:	85962.HP0632 192222.Cj1266c
NOG04183:	192222.Cj1625c 85962.HP0133
NOG04184:	192222.Cj0386 85962.HP0834
NOG04185:	192222.Cj0622 85962.HP0048
NOG04186:	192222.Cj0798c 85962.HP0738
NOG04187:	85962.HP1072 192222.Cj1161c
NOG04188:	192222.Cj1588c 192222.Cj0250c 85962.HP0936
NOG04189:	85962.HP0082 85962.HP0099 192222.Cj1564 192222.Cj0262c 192222.Cj1506c 192222.Cj0144
NOG04190:	192222.Cj1250 85962.HP1218
NOG04191:	192222.Cj1713 85962.HP1428
NOG04192:	85962.HP1379 192222.Cj1073c
NOG04193:	85962.HP1069 192222.Cj1116c
NOG04194:	192222.Cj1085c 85962.HP1541
NOG04195:	85962.HP1266 192222.Cj1573c
NOG04196:	192222.Cj0546 85962.HP0396
NOG04197:	85962.HP1213 192222.Cj1253
NOG04198:	192222.Cj0107 85962.HP1132
NOG04199:	85962.HP0758 192222.Cj0006
NOG04200:	85962.HP0163 192222.Cj0995c
NOG04201:	85962.HP1114 192222.Cj0680c
NOG04202:	192222.Cj0353c 85962.HP0278
NOG04203:	85962.HP1172 192222.Cj0982c
NOG04204:	192222.Cj0240c 85962.HP0220
NOG04205:	192222.Cj1130c 85962.HP1206
NOG04206:	192222.Cj0470 85962.HP1205
NOG04207:	192222.Cj1005c 85962.HP0286
NOG04208:	192222.Cj1567c 85962.HP1272
NOG04209:	85962.HP0561 192222.Cj0435
NOG04210:	85962.HP1584 192222.Cj1344c
NOG04211:	85962.HP0246 192222.Cj1462
NOG04212:	192222.Cj0149c 85962.HP0822
NOG04213:	192222.Cj1270c 85962.HP0773
NOG04214:	192222.Cj0373 85962.HP0096
NOG04215:	192222.Cj0858c 85962.HP0648
NOG04216:	192222.Cj0479 85962.HP1198
NOG04217:	192222.Cj1578c 85962.HP1261
NOG04218:	192222.Cj0509c 85962.HP0264
NOG04219:	192222.Cj0460 85962.HP1514
NOG04220:	85962.HP1045 192222.Cj1537c
NOG04221:	85962.HP0351 192222.Cj0318
NOG04222:	192222.Cj0689 85962.HP0903m
NOG04223:	192222.Cj0329c 85962.HP0201
NOG04224:	85962.HP0145 192222.Cj1489c
NOG04225:	85962.HP1532 192222.Cj1366c
NOG04226:	192222.Cj0464 85962.HP1523
NOG04227:	192222.Cj1185c 85962.HP1539
NOG04228:	85962.HP1459 192222.Cj1709c
NOG04229:	192222.Cj0853c 85962.HP0306
NOG04230:	192222.Cj0053c 85962.HP1335
NOG04231:	192222.Cj0401 85962.HP0182
NOG04232:	85962.HP0207 192222.Cj1606c
NOG04233:	85962.HP1332 192222.Cj1260c
NOG04234:	85962.HP1119 192222.Cj1466
NOG04235:	85962.HP0675 192222.Cj0863c
NOG04236:	192222.Cj0570 85962.HP0729
NOG04237:	192222.Cj0039c 85962.HP0480
NOG04238:	85962.HP0056 192222.Cj1503c
NOG04239:	192222.Cj1515c 85962.HP0020
NOG04240:	85962.HP0318 192222.Cj1613c
NOG04241:	192222.Cj1205c 85962.HP0223
NOG04242:	192222.Cj1645 85962.HP1088
NOG04243:	192222.Cj0559 85962.HP1164
NOG04244:	85962.HP0705 192222.Cj0342c
NOG04245:	85962.HP0623 192222.Cj1054c
NOG04246:	85962.HP0109 192222.Cj0759
NOG04247:	192222.Cj0075c 85962.HP0139
NOG04248:	192222.Cj1634c 85962.HP0663
NOG04249:	85962.HP0625 192222.Cj0686
NOG04250:	85962.HP0853 192222.Cj0426
NOG04251:	192222.Cj1494c 85962.HP1237
NOG04252:	192222.Cj1091c 85962.HP1547
NOG04253:	85962.HP1232 192222.Cj0585
NOG04254:	85962.HP0549 192222.Cj1652c
NOG04255:	192222.Cj1188c 85962.HP0213
NOG04256:	192222.Cj1206c 85962.HP0763
NOG04257:	192222.Cj0402 85962.HP0183
NOG04258:	85962.HP0787 192222.Cj0941c
NOG04259:	192222.Cj1006c 85962.HP0285
NOG04260:	192222.Cj0105 85962.HP1134
NOG04261:	192222.Cj0543 85962.HP0238
NOG04262:	192222.Cj1646 85962.HP1466
NOG04263:	85962.HP0687 192222.Cj1398
NOG04264:	85962.HP1507 192222.Cj0172c
NOG04265:	85962.HP0152 192222.Cj1674
NOG04266:	85962.HP0026 192222.Cj1682c
NOG04267:	192222.Cj1234 85962.HP0972
NOG04268:	85962.HP1555 192222.Cj1181c
NOG04269:	192222.Cj0508 85962.HP0597
NOG04270:	85962.HP0715 192222.Cj0669
NOG04271:	85962.HP1019 192222.Cj1228c
NOG04272:	85962.HP1549 192222.Cj1092c
NOG04273:	85962.HP1460 192222.Cj0718
NOG04274:	192222.Cj1196c 85962.HP0961
NOG04275:	85962.HP0950 192222.Cj0127c
NOG04276:	192222.Cj1221 85962.HP0010
NOG04277:	192222.Cj0410 85962.HP0191
NOG04278:	192222.Cj0762c 85962.HP0672
NOG04279:	85962.HP1529 192222.Cj0001
NOG04280:	85962.HP1082 192222.Cj0803
NOG04281:	192222.Cj1481c 85962.HP1553
NOG04282:	192222.Cj1498c 85962.HP0255
NOG04283:	85962.HP0607 192222.Cj1033
NOG04284:	85962.HP1300 192222.Cj1688c
NOG04285:	192222.Cj1243 85962.HP0604
NOG04286:	192222.Cj0807 85962.HP1014
NOG04287:	85962.HP0516 192222.Cj0662c
NOG04288:	85962.HP0621 192222.Cj1052c
NOG04289:	192222.Cj0031 85962.HP1517
NOG04290:	192222.Cj0582 85962.HP1229
NOG04291:	192222.Cj0098 85962.HP1141
NOG04292:	192222.Cj1150c 85962.HP0858
NOG04293:	85962.HP0033 192222.Cj1108
NOG04294:	85962.HP0303 192222.Cj0096
NOG04295:	85962.HP0407 192222.Cj0264c
NOG04296:	85962.HP0898 192222.Cj0625
NOG04297:	85962.HP1012 192222.Cj0805
NOG04298:	85962.HP0355 192222.Cj1030c
NOG04299:	192222.Cj1568c 85962.HP1271
NOG04300:	192222.Cj1400c 85962.HP0195
NOG04301:	192222.Cj0572 85962.HP0804
NOG04302:	85962.HP1374 192222.Cj0275
NOG04303:	192222.Cj1248 85962.HP0409
NOG04304:	85962.HP0740 192222.Cj0795c
NOG04305:	192222.Cj0123c 85962.HP0727
NOG04306:	85962.HP0047 192222.Cj0626
NOG04307:	85962.HP0281 192222.Cj1010
NOG04308:	192222.Cj0709 85962.HP1152
NOG04309:	85962.HP1362 192222.Cj0562
NOG04310:	192222.Cj1345c 85962.HP1075
NOG04311:	85962.HP0512 192222.Cj0699c
NOG04312:	192222.Cj1624c 85962.HP0132
NOG04313:	85962.HP1090 192222.Cj0886c
NOG04314:	85962.HP0012 192222.Cj1638
NOG04315:	85962.HP1267 192222.Cj1572c
NOG04316:	192222.Cj1375 85962.HP1181
NOG04317:	85962.HP1241 192222.Cj0506
NOG04318:	192222.Cj0991c 85962.HP0666
NOG04319:	85962.HP0470 192222.Cj1099
NOG04320:	192222.Cj0060c 85962.HP1031
NOG04321:	192222.Cj0183 85962.HP1490
NOG04322:	192222.Cj0389 85962.HP1480
NOG04323:	85962.HP1222 192222.Cj1585c
NOG04324:	192222.Cj0895c 85962.HP0401
NOG04325:	192222.Cj0882c 85962.HP1041
NOG04326:	85962.HP0116 192222.Cj1686c
NOG04327:	192222.Cj0198c 85962.HP1026
NOG04328:	85962.HP0830 192222.Cj1059c
NOG04329:	192222.Cj0384c 85962.HP0003
NOG04330:	192222.Cj1023c 85962.HP1189
NOG04331:	85962.HP0656 192222.Cj0462
NOG04332:	85962.HP1345 192222.Cj1402c
NOG04333:	85962.HP0221 192222.Cj0239c
NOG04334:	85962.HP0405 192222.Cj0791c
NOG04335:	85962.HP0875 192222.Cj1385
NOG04336:	192222.Cj0407 85962.HP0955
NOG04337:	85962.HP1035 192222.Cj0064c
NOG04338:	192222.Cj1502c 85962.HP0055
NOG04339:	192222.Cj1027c 85962.HP0701
NOG04340:	85962.HP1171 192222.Cj0469
NOG04341:	85962.HP1420 192222.Cj0195
NOG04342:	192222.Cj1362 85962.HP1059
NOG04343:	85962.HP0506 192222.Cj1215
NOG04344:	192222.Cj1368 85962.HP0654
NOG04345:	85962.HP1294 192222.Cj1594
NOG04346:	192222.Cj0442 85962.HP0558
NOG04347:	192222.Cj0279 85962.HP0919
NOG04348:	192222.Cj0268c 85962.HP0248
NOG04349:	192222.Cj0029 85962.HP0723
NOG04350:	192222.Cj0696 85962.HP0979
NOG04351:	192222.Cj0061c 85962.HP1032
NOG04352:	85962.HP0867 192222.Cj0288c
NOG04353:	192222.Cj1184c 85962.HP1538
NOG04354:	192222.Cj0541 85962.HP0240
NOG04355:	192222.Cj0234c 85962.HP1256
NOG04356:	192222.Cj0101 85962.HP1138
NOG04357:	192222.Cj0661c 85962.HP0517
NOG04358:	85962.HP0772 192222.Cj1269c
NOG04359:	85962.HP1402 192222.Cj1549c
NOG04360:	192222.Cj0663c 85962.HP0515
NOG04361:	192222.Cj0492 85962.HP1196
NOG04362:	85962.HP1495 192222.Cj0281c
NOG04363:	85962.HP1216 192222.Cj1252
NOG04364:	85962.HP0957 192222.Cj0707
NOG04365:	85962.HP0728 192222.Cj1453c
NOG04366:	85962.HP1089 192222.Cj1482c
NOG04367:	85962.HP0685 192222.Cj0820c
NOG04368:	85962.HP0857 192222.Cj1149c
NOG04369:	192222.Cj1695c 85962.HP1307
NOG04370:	85962.HP0089 192222.Cj0117
NOG04371:	85962.HP0929 192222.Cj1644
NOG04372:	85962.HP0166 192222.Cj1261
NOG04373:	85962.HP0841 192222.Cj0822
NOG04374:	85962.HP0581 192222.Cj0259
NOG04375:	192222.Cj0793 85962.HP0244
NOG04376:	85962.HP1363 192222.Cj0188c
NOG04377:	85962.HP1058 192222.Cj0298c
NOG04378:	192222.Cj1727c 85962.HP0106
NOG04379:	85962.HP0100 192222.Cj0272
NOG04380:	85962.HP0587 192222.Cj0529c
NOG04381:	192222.Cj1239 85962.HP1583
NOG04382:	85962.HP0591 192222.Cj0538
NOG04383:	192222.Cj0976 85962.HP0419
NOG04384:	85962.HP0471 192222.Cj1231
NOG04385:	192222.Cj0713 85962.HP1148
NOG04386:	192222.Cj0067 85962.HP0267
NOG04387:	192222.Cj0857c 85962.HP0172
NOG04388:	192222.Cj0881c 85962.HP1042
NOG04389:	192222.Cj0390 85962.HP1479
NOG04390:	192222.Cj0833c 85962.HP0357
NOG04391:	85962.HP1483 192222.Cj0324
NOG04392:	192222.Cj0612c 85962.HP0653
NOG04393:	192222.Cj0403 85962.HP0184
NOG04394:	192222.Cj1700c 85962.HP1312
NOG04395:	192222.Cj0491 85962.HP1197
NOG04396:	192222.Cj0725c 85962.HP0799
NOG04397:	85962.HP1564 192222.Cj0772c 192222.Cj0771c 192222.Cj0770c
NOG04398:	85962.HP0217 192222.Cj1143
NOG04399:	192222.Cj0233c 85962.HP1257
NOG04400:	192222.Cj0843c 85962.HP0645
NOG04401:	192222.Cj0408 85962.HP0193
NOG04402:	85962.HP1533 192222.Cj0026c
NOG04403:	85962.HP0005 192222.Cj0381c
NOG04404:	192222.Cj0906c 85962.HP0518
NOG04405:	85962.HP1182 192222.Cj0118
NOG04406:	85962.HP0002 192222.Cj0383c
NOG04407:	192222.Cj0503c 85962.HP0376
NOG04408:	192222.Cj0645 85962.HP1572
NOG04409:	192222.Cj1229 85962.HP1024
NOG04410:	85962.HP0571 192222.Cj0928
NOG04411:	85962.HP1498 192222.Cj0313
NOG04412:	85962.HP0282 192222.Cj1009c
NOG04413:	85962.HP0576 192222.Cj0856
NOG04414:	85962.HP0329 192222.Cj0810
NOG04415:	192222.Cj1277c 85962.HP0748
NOG04416:	85962.HP0618 192222.Cj0639c
NOG04417:	85962.HP0147 192222.Cj1487c
NOG04418:	192222.Cj0694 85962.HP0977
NOG04419:	85962.HP0258 192222.Cj1068
NOG04420:	85962.HP1034 192222.Cj0063c
NOG04421:	192222.Cj1692c 85962.HP1304
NOG04422:	85962.HP0196 192222.Cj0576
NOG04423:	192222.Cj0697 85962.HP1092
NOG04424:	85962.HP1183 192222.Cj1684c
NOG04425:	192222.Cj1577c 85962.HP1262
NOG04426:	85962.HP1302 192222.Cj1690c
NOG04427:	85962.HP0474 192222.Cj0301c
NOG04428:	192222.Cj0015c 85962.HP0711
NOG04429:	192222.Cj0451 85962.HP1386
NOG04430:	192222.Cj0473 85962.HP1203
NOG04431:	85962.HP0197 192222.Cj1096c
NOG04432:	85962.HP0162 192222.Cj1172c
NOG04433:	85962.HP1044 192222.Cj0846
NOG04434:	85962.HP0930 192222.Cj0293
NOG04435:	85962.HP0585 192222.Cj0595c
NOG04436:	85962.HP1202 192222.Cj0474
NOG04437:	85962.HP0657 192222.Cj0463
NOG04438:	192222.Cj1443c 85962.HP1429
NOG04439:	192222.Cj1729c 85962.HP0870
NOG04440:	85962.HP1143 192222.Cj0036
NOG04441:	85962.HP1319 192222.Cj1707c
NOG04442:	85962.HP1226 192222.Cj0580c
NOG04443:	192222.Cj0578c 85962.HP1061
NOG04444:	192222.Cj0120 85962.HP0951
NOG04445:	85962.HP0877 192222.Cj1731c
NOG04446:	85962.HP1067 192222.Cj1118c
NOG04447:	85962.HP1318 192222.Cj1706c
NOG04448:	85962.HP1393 192222.Cj0642
NOG04449:	192222.Cj0228c 85962.HP0363
NOG04450:	192222.Cj0527c 85962.HP1558
NOG04451:	192222.Cj1179c 85962.HP0173
NOG04452:	85962.HP0510 192222.Cj0197c
NOG04453:	192222.Cj0589 85962.HP1087
NOG04454:	192222.Cj1480c 85962.HP0084
NOG04455:	192222.Cj0297c 85962.HP0006
NOG04456:	85962.HP0388 192222.Cj0590
NOG04457:	192222.Cj0708 85962.HP0956
NOG04458:	85962.HP0855 192222.Cj0611c
NOG04459:	85962.HP1451 192222.Cj0957c
NOG04460:	85962.HP1169 192222.Cj0467
NOG04461:	85962.HP1380 192222.Cj0130
NOG04462:	192222.Cj0059c 85962.HP1030
NOG04463:	192222.Cj0700 85962.HP0170
NOG04464:	85962.HP1496 192222.Cj0311
NOG04465:	85962.HP1071 192222.Cj1114c
NOG04466:	85962.HP0328 192222.Cj0811
NOG04467:	192222.Cj0903c 85962.HP0942
NOG04468:	85962.HP0259 192222.Cj0325
NOG04469:	192222.Cj0068 85962.HP1435
NOG04470:	192222.Cj1238 85962.HP1582
NOG04471:	85962.HP0928 192222.Cj0194
NOG04472:	85962.HP1309 192222.Cj1697c
NOG04473:	85962.HP0844 192222.Cj1082c
NOG04474:	85962.HP0279 192222.Cj1133
NOG04475:	192222.Cj1571c 85962.HP1268
NOG04476:	85962.HP0475 192222.Cj0300c
NOG04477:	85962.HP0802 192222.Cj0996
NOG04478:	85962.HP0798 192222.Cj0252
NOG04479:	192222.Cj1087c 85962.HP1543
NOG04480:	85962.HP0333 192222.Cj0634
NOG04481:	192222.Cj1119c 85962.HP0158
NOG04482:	192222.Cj0207 85962.HP0124
NOG04483:	85962.HP1253 192222.Cj0388
NOG04484:	85962.HP0321 192222.Cj1177c
NOG04485:	192222.Cj0912c 85962.HP0107
NOG04486:	85962.HP0920 192222.Cj0236c
NOG04487:	85962.HP0179 192222.Cj1180c
NOG04488:	192222.Cj1566c 85962.HP1273
NOG04489:	192222.Cj1218c 85962.HP1574
NOG04490:	192222.Cj0086c 85962.HP1347
NOG04491:	85962.HP1505 192222.Cj1622
NOG04492:	85962.HP0572 192222.Cj0927
NOG04493:	192222.Cj1553c 85962.HP1403 85962.HP0850
NOG04494:	192222.Cj0646 85962.HP1571
NOG04495:	85962.HP1475 192222.Cj0767c
NOG04496:	192222.Cj1278c 85962.HP0747
NOG04497:	192222.Cj0581 85962.HP1228
NOG04498:	192222.Cj0336c 85962.HP0816
NOG04499:	192222.Cj0343c 85962.HP0226
NOG04500:	192222.Cj1186c 85962.HP1540
NOG04501:	192222.Cj1647 85962.HP1465
NOG04502:	85962.HP1375 192222.Cj0274
NOG04503:	192222.Cj1531 85962.HP0566
NOG04504:	192222.Cj0002 85962.HP0500
NOG04505:	85962.HP1576 192222.Cj0774c
NOG04506:	192222.Cj1279c 85962.HP0746
NOG04507:	85962.HP0739 192222.Cj0796c
NOG04508:	192222.Cj0813 85962.HP0230
NOG04509:	85962.HP0866 192222.Cj0287c
NOG04510:	85962.HP1357 192222.Cj0847
NOG04511:	192222.Cj0154c 85962.HP0552
NOG04512:	85962.HP0180 192222.Cj1095
NOG04513:	85962.HP1170 192222.Cj0468
NOG04514:	85962.HP1100 192222.Cj0013
NOG04515:	192222.Cj0824 85962.HP1221
NOG04516:	85962.HP0662 192222.Cj1635c
NOG04517:	85962.HP0295 192222.Cj0887c
NOG04518:	192222.Cj0237 85962.HP0004
NOG04519:	85962.HP1513 192222.Cj1378
NOG04520:	85962.HP0934 192222.Cj0160c
NOG04521:	85962.HP0620 192222.Cj0638c
