##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/418101.plasmodia.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/418101.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:54
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/418101.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	352914.XP_725878.1 5821.PBANKA_122380
NOG04212:	5821.PBANKA_142670 352914.XP_730096.1
NOG04213:	352914.XP_724249.1 5821.PBANKA_120840
NOG04214:	5821.PBANKA_130640 352914.XP_730334.1
NOG04215:	5821.PBANKA_124250 352914.XP_729012.1
NOG04216:	352914.XP_725717.1 5821.PBANKA_103640
NOG04217:	352914.XP_726498.1 5821.PBANKA_093400
NOG04218:	5821.PBANKA_052040 352914.XP_724323.1
NOG04219:	352914.XP_726471.1 5821.PBANKA_142900
NOG04220:	352914.XP_727751.1 5821.PBANKA_134030
NOG04221:	5821.PBANKA_081520 352914.XP_730369.1
NOG04222:	352914.XP_729835.1 5821.PBANKA_091330
NOG04223:	5821.PBANKA_146080 352914.XP_729348.1
NOG04224:	5821.PBANKA_132480 352914.XP_725581.1
NOG04225:	5821.PBANKA_131740 352914.XP_726951.1
NOG04226:	5821.PBANKA_020820 352914.XP_728808.1
NOG04227:	352914.XP_726402.1 5821.PBANKA_130100
NOG04228:	5821.PBANKA_111860 352914.XP_723826.1
NOG04229:	352914.XP_725661.1 5821.PBANKA_111000
NOG04230:	352914.XP_726045.1 5821.PBANKA_070440
NOG04231:	352914.XP_724157.1 5821.PBANKA_031070
NOG04232:	5821.PBANKA_122980 352914.XP_724054.1
NOG04233:	5821.PBANKA_060570 352914.XP_727004.1
NOG04234:	5821.PBANKA_144260 352914.XP_724240.1
NOG04235:	5821.PBANKA_133590 352914.XP_724565.1
NOG04236:	352914.XP_728199.1 5821.PBANKA_144620
NOG04237:	5821.PBANKA_132210 352914.XP_726606.1
NOG04238:	352914.XP_725505.1 5821.PBANKA_135860
NOG04239:	5821.PBANKA_141820 352914.XP_729781.1
NOG04240:	5821.PBANKA_124020 352914.XP_729973.1
NOG04241:	352914.XP_729950.1 5821.PBANKA_021160
NOG04242:	5821.PBANKA_093160 352914.XP_730018.1
NOG04243:	352914.XP_725238.1 5821.PBANKA_061240
NOG04244:	5821.PBANKA_103590 352914.XP_731212.1
NOG04245:	352914.XP_729933.1 5821.PBANKA_051360
NOG04246:	5821.PBANKA_145260 352914.XP_725182.1
NOG04247:	5821.PBANKA_030620 352914.XP_730915.1
NOG04248:	352914.XP_726583.1 5821.PBANKA_130530
NOG04249:	5821.PBANKA_081580 352914.XP_730566.1
NOG04250:	5821.PBANKA_140130 352914.XP_724122.1
NOG04251:	5821.PBANKA_112170 352914.XP_730049.1
NOG04252:	352914.XP_727960.1 5821.PBANKA_142220
NOG04253:	5821.PBANKA_113470 352914.XP_728906.1
NOG04254:	352914.XP_727194.1 5821.PBANKA_132300
NOG04255:	352914.XP_727411.1 5821.PBANKA_131860
NOG04256:	5821.PBANKA_110490 352914.XP_730889.1
NOG04257:	5821.PBANKA_122230 352914.XP_729721.1
NOG04258:	352914.XP_724472.1 5821.PBANKA_123850
NOG04259:	352914.XP_725529.1 5821.PBANKA_136150
NOG04260:	352914.XP_723737.1 5821.PBANKA_113330
NOG04261:	5821.PBANKA_050850 352914.XP_725382.1
NOG04262:	5821.PBANKA_145800 352914.XP_728152.1
NOG04263:	352914.XP_725839.1 5821.PBANKA_080980
NOG04264:	352914.XP_729239.1 5821.PBANKA_134300
NOG04265:	5821.PBANKA_081900 352914.XP_725392.1
NOG04266:	5821.PBANKA_031460 352914.XP_724001.1
NOG04267:	352914.XP_730079.1 5821.PBANKA_112120
NOG04268:	5821.PBANKA_050140 352914.XP_729843.1
NOG04269:	352914.XP_727207.1 5821.PBANKA_061500
NOG04270:	5821.PBANKA_081870 352914.XP_726664.1
NOG04271:	5821.PBANKA_041320 352914.XP_726359.1
NOG04272:	5821.PBANKA_041620 352914.XP_724857.1
NOG04273:	5821.PBANKA_134710 352914.XP_726231.1
NOG04274:	352914.XP_724167.1 5821.PBANKA_020380
NOG04275:	5821.PBANKA_071560 352914.XP_725203.1
NOG04276:	352914.XP_730515.1 5821.PBANKA_082740
NOG04277:	352914.XP_724870.1 352914.XP_730971.1 352914.XP_730536.1 352914.XP_729895.1 352914.XP_727935.1 352914.XP_724461.1 5821.PBANKA_146550 352914.XP_727196.1 5821.PBANKA_030020
NOG04278:	352914.XP_723618.1 5821.PBANKA_145480
NOG04279:	352914.XP_724665.1 5821.PBANKA_141320
NOG04280:	5821.PBANKA_121370 352914.XP_724943.1
NOG04281:	5821.PBANKA_142400 352914.XP_724542.1
NOG04282:	5821.PBANKA_010230 352914.XP_725194.1
NOG04283:	352914.XP_728991.1 5821.PBANKA_101390
NOG04284:	5821.PBANKA_060830 352914.XP_729632.1
NOG04285:	5821.PBANKA_132140 352914.XP_726202.1
NOG04286:	352914.XP_726863.1 5821.PBANKA_090770
NOG04287:	352914.XP_730996.1 5821.PBANKA_121880
NOG04288:	5821.PBANKA_142090 352914.XP_730526.1
NOG04289:	5821.PBANKA_144450 352914.XP_729997.1
NOG04290:	5821.PBANKA_121940 352914.XP_725461.1
NOG04291:	352914.XP_727298.1 5821.PBANKA_051590
NOG04292:	352914.XP_726736.1 5821.PBANKA_010040
NOG04293:	5821.PBANKA_102650 352914.XP_725052.1
NOG04294:	5821.PBANKA_145780 352914.XP_724034.1
NOG04295:	5821.PBANKA_143000 352914.XP_729871.1
NOG04296:	5821.PBANKA_144690 352914.XP_725141.1
NOG04297:	5821.PBANKA_050600 352914.XP_724331.1
NOG04298:	5821.PBANKA_134850 352914.XP_725150.1
NOG04299:	5821.PBANKA_091220 352914.XP_728955.1
NOG04300:	352914.XP_727973.1 5821.PBANKA_070150
NOG04301:	352914.XP_726264.1 5821.PBANKA_040540
NOG04302:	352914.XP_726172.1 5821.PBANKA_101160
NOG04303:	5821.PBANKA_050690 352914.XP_729455.1
NOG04304:	5821.PBANKA_051790 352914.XP_724607.1
NOG04305:	352914.XP_724322.1 5821.PBANKA_123350
NOG04306:	5821.PBANKA_131280 352914.XP_727059.1
NOG04307:	352914.XP_723996.1 5821.PBANKA_060740
NOG04308:	352914.XP_731127.1 5821.PBANKA_114230
NOG04309:	352914.XP_729291.1 5821.PBANKA_050740
NOG04310:	352914.XP_727987.1 5821.PBANKA_122760
NOG04311:	352914.XP_730781.1 5821.PBANKA_134100
NOG04312:	5821.PBANKA_130370 352914.XP_727633.1
NOG04313:	352914.XP_729783.1 5821.PBANKA_140230
NOG04314:	352914.XP_725969.1 5821.PBANKA_090670
NOG04315:	5821.PBANKA_112050 352914.XP_724600.1
NOG04316:	5821.PBANKA_145860 352914.XP_725167.1
NOG04317:	5821.PBANKA_120540 352914.XP_729705.1
NOG04318:	5821.PBANKA_133870 352914.XP_729942.1
NOG04319:	352914.XP_730300.1 5821.PBANKA_071000
NOG04320:	352914.XP_723976.1 5821.PBANKA_144530
NOG04321:	5821.PBANKA_040420 352914.XP_726422.1
NOG04322:	5821.PBANKA_140470 352914.XP_730489.1
NOG04323:	352914.XP_730173.1 5821.PBANKA_100850
NOG04324:	352914.XP_724026.1 5821.PBANKA_051010
NOG04325:	352914.XP_727340.1 5821.PBANKA_103410
NOG04326:	352914.XP_729317.1 5821.PBANKA_080820
NOG04327:	352914.XP_728994.1 5821.PBANKA_101430
NOG04328:	352914.XP_730026.1 5821.PBANKA_092050
NOG04329:	5821.PBANKA_132980 352914.XP_730476.1
NOG04330:	5821.PBANKA_072020 352914.XP_731304.1
NOG04331:	5821.PBANKA_133370 352914.XP_728313.1
NOG04332:	5821.PBANKA_051800 352914.XP_724606.1
NOG04333:	352914.XP_730210.1 5821.PBANKA_141090
NOG04334:	352914.XP_724257.1 5821.PBANKA_136220
NOG04335:	352914.XP_729451.1 5821.PBANKA_050660
NOG04336:	352914.XP_731015.1 5821.PBANKA_134980
NOG04337:	352914.XP_726075.1 5821.PBANKA_020240
NOG04338:	352914.XP_731098.1 5821.PBANKA_081060
NOG04339:	352914.XP_730777.1 5821.PBANKA_114120
NOG04340:	352914.XP_728392.1 5821.PBANKA_081670
NOG04341:	5821.PBANKA_092570 352914.XP_731223.1
NOG04342:	352914.XP_731270.1 5821.PBANKA_141760
NOG04343:	5821.PBANKA_121830 352914.XP_725587.1
NOG04344:	5821.PBANKA_112200 352914.XP_723652.1
NOG04345:	5821.PBANKA_143580 352914.XP_727307.1
NOG04346:	5821.PBANKA_020310 352914.XP_730276.1
NOG04347:	5821.PBANKA_122660 352914.XP_727031.1
NOG04348:	5821.PBANKA_130890 352914.XP_723899.1
NOG04349:	352914.XP_725282.1 5821.PBANKA_143600
NOG04350:	352914.XP_729687.1 5821.PBANKA_142020
NOG04351:	5821.PBANKA_110790 352914.XP_723895.1
NOG04352:	5821.PBANKA_145420 352914.XP_731362.1
NOG04353:	352914.XP_724097.1 5821.PBANKA_052010
NOG04354:	352914.XP_727877.1 5821.PBANKA_101960
NOG04355:	352914.XP_731045.1 5821.PBANKA_114370
NOG04356:	352914.XP_724507.1 5821.PBANKA_070860
NOG04357:	5821.PBANKA_133540 352914.XP_725852.1
NOG04358:	352914.XP_726855.1 5821.PBANKA_136520
NOG04359:	352914.XP_728003.1 5821.PBANKA_070450
NOG04360:	352914.XP_728954.1 5821.PBANKA_091230
NOG04361:	5821.PBANKA_093300 352914.XP_730879.1
NOG04362:	5821.PBANKA_124060 352914.XP_723837.1
NOG04363:	352914.XP_729668.1 5821.PBANKA_071260
NOG04364:	352914.XP_730262.1 5821.PBANKA_094220
NOG04365:	352914.XP_724016.1 5821.PBANKA_124220
NOG04366:	352914.XP_726906.1 5821.PBANKA_093290
NOG04367:	5821.PBANKA_132630 352914.XP_731273.1
NOG04368:	5821.PBANKA_102670 352914.XP_727735.1
NOG04369:	352914.XP_724920.1 5821.PBANKA_030840
NOG04370:	352914.XP_725930.1 5821.PBANKA_051820
NOG04371:	352914.XP_724623.1 5821.PBANKA_061480
NOG04372:	352914.XP_730800.1 5821.PBANKA_140100
NOG04373:	352914.XP_730901.1 5821.PBANKA_135670
NOG04374:	5821.PBANKA_131790 352914.XP_726955.1
NOG04375:	5821.PBANKA_052050 352914.XP_724324.1
NOG04376:	352914.XP_726760.1 5821.PBANKA_060690
NOG04377:	5821.PBANKA_123160 352914.XP_724006.1
NOG04378:	352914.XP_725198.1 5821.PBANKA_071510
NOG04379:	352914.XP_731266.1 5821.PBANKA_030190
NOG04380:	352914.XP_727191.1 5821.PBANKA_132270
NOG04381:	352914.XP_725560.1 5821.PBANKA_101850
NOG04382:	5821.PBANKA_082690 352914.XP_726747.1
NOG04383:	352914.XP_725012.1 5821.PBANKA_142580
NOG04384:	352914.XP_728882.1 5821.PBANKA_092420
NOG04385:	352914.XP_725592.1 5821.PBANKA_091850
NOG04386:	5821.PBANKA_124450 352914.XP_729617.1
NOG04387:	5821.PBANKA_031270 352914.XP_728823.1
NOG04388:	352914.XP_729884.1 5821.PBANKA_101830
NOG04389:	352914.XP_731178.1 5821.PBANKA_142460
NOG04390:	352914.XP_730650.1 5821.PBANKA_080770
NOG04391:	5821.PBANKA_103450 352914.XP_724388.1
NOG04392:	352914.XP_729956.1 5821.PBANKA_021100
NOG04393:	5821.PBANKA_020420 352914.XP_731024.1
NOG04394:	5821.PBANKA_070650 352914.XP_729939.1
NOG04395:	5821.PBANKA_020610 352914.XP_727255.1
NOG04396:	5821.PBANKA_113030 352914.XP_726022.1
NOG04397:	5821.PBANKA_100610 352914.XP_730108.1
NOG04398:	5821.PBANKA_131220 352914.XP_725527.1
NOG04399:	352914.XP_724484.1 5821.PBANKA_100630
NOG04400:	5821.PBANKA_093740 352914.XP_723897.1
NOG04401:	5821.PBANKA_145370 352914.XP_727511.1
NOG04402:	352914.XP_726337.1 5821.PBANKA_050910
NOG04403:	352914.XP_730106.1 5821.PBANKA_100590
NOG04404:	352914.XP_729538.1 5821.PBANKA_080920
NOG04405:	352914.XP_724404.1 5821.PBANKA_020940
NOG04406:	352914.XP_729168.1 5821.PBANKA_080460
NOG04407:	352914.XP_729124.1 5821.PBANKA_132850
NOG04408:	5821.PBANKA_090880 352914.XP_725134.1
NOG04409:	352914.XP_724288.1 5821.PBANKA_050320
NOG04410:	5821.PBANKA_124070 352914.XP_727432.1
NOG04411:	352914.XP_725631.1 5821.PBANKA_082540
NOG04412:	5821.PBANKA_052350 352914.XP_727108.1
NOG04413:	5821.PBANKA_131040 352914.XP_727803.1
NOG04414:	352914.XP_729318.1 5821.PBANKA_080810
NOG04415:	352914.XP_724450.1 5821.PBANKA_122290
NOG04416:	5821.PBANKA_100540 352914.XP_725311.1
NOG04417:	352914.XP_724519.1 5821.PBANKA_093030
NOG04418:	352914.XP_725467.1 5821.PBANKA_143720
NOG04419:	352914.XP_729449.1 5821.PBANKA_142760
NOG04420:	5821.PBANKA_041070 352914.XP_724819.1
NOG04421:	5821.PBANKA_141560 352914.XP_731415.1
NOG04422:	352914.XP_726083.1 5821.PBANKA_136310
NOG04423:	352914.XP_723973.1 5821.PBANKA_144500
NOG04424:	352914.XP_730434.1 5821.PBANKA_140640
NOG04425:	5821.PBANKA_123610 352914.XP_727467.1
