##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/186826.lactobacillales.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/186826.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/186826.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	272623.L0158 160490.SPy_1200
NOG04160:	272623.L123851 160490.SPy_1936
NOG04161:	272623.L0318 160490.SPy_1616
NOG04162:	160490.SPy_1652 272623.L0203
NOG04163:	160490.SPy_0096 272623.L0359
NOG04164:	160490.SPy_0643 272623.L0374
NOG04165:	272623.L0116 160490.SPy_1670
NOG04166:	272623.L111126 160490.SPy_1122
NOG04167:	272623.L0325 160490.SPy_1946
NOG04168:	160490.SPy_1416 272623.L0369
NOG04169:	272623.L131778 160490.SPy_0247
NOG04170:	272623.L0162 160490.SPy_0922
NOG04171:	272623.L110431 160490.SPy_1257
NOG04172:	160490.SPy_1022 272623.L12887
NOG04173:	272623.L0264 160490.SPy_1495
NOG04174:	272623.L0278 160490.SPy_1961
NOG04175:	272623.L184159 160490.SPy_1533
NOG04176:	160490.SPy_2080 272623.L135954
NOG04177:	160490.SPy_1424 272623.L195318
NOG04178:	272623.L129753 160490.SPy_1595
NOG04179:	272623.L118079 160490.SPy_1858
NOG04180:	160490.SPy_0032 272623.L153005
NOG04181:	160490.SPy_0462 272623.L70624
NOG04182:	160490.SPy_0297 272623.L150031
NOG04183:	160490.SPy_1400 272623.L16514
NOG04184:	160490.SPy_1884 272623.L16806
NOG04185:	272623.L176724 160490.SPy_1103
NOG04186:	272623.L0098 160490.SPy_0650
NOG04187:	160490.SPy_0514 272623.L0143
NOG04188:	272623.L150515 160490.SPy_1742
NOG04189:	272623.L0125 160490.SPy_0528
NOG04190:	160490.SPy_1488 272623.L102735
NOG04191:	160490.SPy_1355 272623.L140288
NOG04192:	272623.L0378 160490.SPy_0913
NOG04193:	272623.L0336 160490.SPy_1896
NOG04194:	272623.L198033 160490.SPy_0835
NOG04195:	160490.SPy_0652 272623.L188550
NOG04196:	272623.L0152 160490.SPy_2054
NOG04197:	272623.L167877 160490.SPy_1225
NOG04198:	272623.L153408 160490.SPy_1359
NOG04199:	272623.L110899 160490.SPy_0230
NOG04200:	272623.L66222 160490.SPy_1233
NOG04201:	272623.L156302 160490.SPy_1726
NOG04202:	160490.SPy_1502 272623.L76582
NOG04203:	272623.L191486 160490.SPy_0251
NOG04204:	272623.L1389 160490.SPy_0786
NOG04205:	272623.L190464 160490.SPy_0654
NOG04206:	160490.SPy_1162 272623.L0320
NOG04207:	160490.SPy_1152 272623.L0282
NOG04208:	160490.SPy_0003 272623.L0275
NOG04209:	272623.L121289 160490.SPy_0320
NOG04210:	272623.L00157 160490.SPy_0886
NOG04211:	272623.L103741 160490.SPy_2176
NOG04212:	272623.L0010 160490.SPy_1881
NOG04213:	160490.SPy_0160 272623.L12179
NOG04214:	272623.L165202 160490.SPy_0027
NOG04215:	160490.SPy_1606 272623.L37880
NOG04216:	272623.L21264 160490.SPy_2206
NOG04217:	160490.SPy_0852 272623.L157055
NOG04218:	160490.SPy_2189 272623.L43452
NOG04219:	160490.SPy_1547 272623.L0329
NOG04220:	272623.L128693 160490.SPy_1973
NOG04221:	160490.SPy_2207 272623.L0358
NOG04222:	160490.SPy_2202 160490.SPy_0224 272623.L177590
NOG04223:	272623.L134453 160490.SPy_0268
NOG04224:	160490.SPy_0290 272623.L29491
NOG04225:	160490.SPy_0781 272623.L0269
NOG04226:	160490.SPy_0463 272623.L0367
NOG04227:	272623.L107468 160490.SPy_1653
NOG04228:	272623.L128951 160490.SPy_1161
NOG04229:	272623.L55758 160490.SPy_0044
NOG04230:	272623.L3425 160490.SPy_0789
NOG04231:	272623.L37916 160490.SPy_1506
NOG04232:	160490.SPy_1885 272623.L193593
NOG04233:	272623.L0117 160490.SPy_1672
NOG04234:	160490.SPy_1272 272623.L106965
NOG04235:	160490.SPy_2116 272623.L0260
NOG04236:	272623.L0323 160490.SPy_0503
NOG04237:	272623.L166082 160490.SPy_1125
NOG04238:	272623.L0252 160490.SPy_0776
NOG04239:	272623.L19272 160490.SPy_0122
NOG04240:	160490.SPy_1694 272623.L173068
NOG04241:	160490.SPy_1958 272623.L154885
NOG04242:	160490.SPy_1127 272623.L167555
NOG04243:	160490.SPy_1140 272623.L184871
NOG04244:	160490.SPy_0803 272623.L143791
NOG04245:	272623.L33556 160490.SPy_1280
NOG04246:	160490.SPy_0345 272623.L101678
NOG04247:	160490.SPy_0020 272623.L25614
NOG04248:	272623.L0357 160490.SPy_0517
NOG04249:	160490.SPy_0109 272623.L73818
NOG04250:	160490.SPy_1592 272623.L127223
NOG04251:	160490.SPy_1158 272623.L178172
NOG04252:	160490.SPy_2079 272623.L135351
NOG04253:	272623.L175357 160490.SPy_1102
NOG04254:	272623.L142355 160490.SPy_0376
NOG04255:	272623.L7798 160490.SPy_2122 272623.L48477
NOG04256:	160490.SPy_0585 272623.L5776
NOG04257:	160490.SPy_0814 160490.SPy_1096 272623.L0177
NOG04258:	160490.SPy_0731 272623.L0007
NOG04259:	160490.SPy_1988 272623.L104221
NOG04260:	160490.SPy_0529 272623.L0124
NOG04261:	272623.L6128 160490.SPy_0849
NOG04262:	272623.L80459 160490.SPy_1498
NOG04263:	160490.SPy_0312 272623.L28696
NOG04264:	160490.SPy_1150 272623.L196579
NOG04265:	272623.L0295 160490.SPy_1378
NOG04266:	272623.L114054 160490.SPy_1850
NOG04267:	160490.SPy_2188 272623.L52034
NOG04268:	160490.SPy_0909 272623.L0290
NOG04269:	160490.SPy_0645 272623.L2.1N
NOG04270:	272623.L0403 160490.SPy_0063
NOG04271:	272623.L88252 160490.SPy_1894
NOG04272:	160490.SPy_1811 272623.L117718
NOG04273:	272623.L0185 160490.SPy_1749
NOG04274:	160490.SPy_0378 272623.L64811
NOG04275:	160490.SPy_1744 272623.L0180
NOG04276:	272623.L0002 160490.SPy_1283
NOG04277:	160490.SPy_0226 272623.L0016
NOG04278:	160490.SPy_1267 272623.L0287
NOG04279:	272623.L52064 160490.SPy_0390
NOG04280:	272623.L0307 160490.SPy_1284
NOG04281:	272623.L26628 160490.SPy_0752
NOG04282:	160490.SPy_1311 272623.L90287
NOG04283:	160490.SPy_1535 272623.L0145
NOG04284:	272623.L81189 160490.SPy_0907
NOG04285:	160490.SPy_1196 272623.L57903
NOG04286:	272623.L193121 160490.SPy_1411
NOG04287:	272623.L0256 160490.SPy_1825
NOG04288:	160490.SPy_0866 272623.L0324
NOG04289:	272623.L0082 160490.SPy_1145
NOG04290:	272623.L87113 160490.SPy_0621
NOG04291:	160490.SPy_0080 272623.L0136
NOG04292:	160490.SPy_1304 272623.L128694
NOG04293:	272623.L0041 160490.SPy_1189
NOG04294:	160490.SPy_2195 272623.L75718
NOG04295:	160490.SPy_1777 272623.L0243
NOG04296:	160490.SPy_0902 272623.L169390
NOG04297:	160490.SPy_1114 272623.L113400
NOG04298:	272623.L0363 160490.SPy_0262
NOG04299:	272623.L162604 160490.SPy_1779
NOG04300:	272623.L0258 160490.SPy_1068
NOG04301:	272623.L72609 160490.SPy_2105
NOG04302:	160490.SPy_0045 272623.L154438
NOG04303:	160490.SPy_2093 272623.L0376
NOG04304:	272623.L129183 160490.SPy_1649
NOG04305:	160490.SPy_0414 272623.L78730
NOG04306:	272623.L0040 160490.SPy_1188
NOG04307:	272623.L8105 160490.SPy_0759
NOG04308:	272623.L187771 160490.SPy_2216
NOG04309:	160490.SPy_1500 272623.L0254
NOG04310:	160490.SPy_1035 272623.L114717
NOG04311:	160490.SPy_0341 272623.L0156
NOG04312:	160490.SPy_1391 272623.L165684
NOG04313:	272623.L25787 160490.SPy_0827
NOG04314:	272623.L102360 160490.SPy_1239
NOG04315:	160490.SPy_1296 272623.L128697
NOG04316:	272623.L111162 160490.SPy_1255
NOG04317:	272623.L17654 160490.SPy_0123
NOG04318:	160490.SPy_0036 272623.L88187
NOG04319:	272623.L29477 160490.SPy_0314
NOG04320:	160490.SPy_1892 272623.L123536
NOG04321:	160490.SPy_0395 272623.L72391
NOG04322:	160490.SPy_1877 272623.L0118
NOG04323:	160490.SPy_0066 272623.L0404
NOG04324:	160490.SPy_0515 272623.L189090
NOG04325:	272623.L0401 160490.SPy_0049
NOG04326:	272623.L34806 160490.SPy_0285
NOG04327:	160490.SPy_1754 272623.L0182
NOG04328:	160490.SPy_1241 272623.L154481
NOG04329:	272623.L0279 160490.SPy_1364
NOG04330:	272623.L132038 160490.SPy_0773
NOG04331:	160490.SPy_1071 272623.L0157
NOG04332:	160490.SPy_0792 272623.L7894
NOG04333:	160490.SPy_1346 272623.L193873
NOG04334:	272623.L33412 160490.SPy_0287
NOG04335:	160490.SPy_0617 272623.L86251
NOG04336:	160490.SPy_0476 272623.L0155
NOG04337:	272623.L0014 160490.SPy_1684
NOG04338:	160490.SPy_0098 272623.L0137
NOG04339:	160490.SPy_0280 272623.L58643
NOG04340:	272623.L166804 160490.SPy_1226
NOG04341:	272623.L0296 160490.SPy_1833
NOG04342:	272623.L0271 160490.SPy_0497
NOG04343:	272623.L0265 160490.SPy_1422
NOG04344:	272623.L0305 160490.SPy_1846
NOG04345:	160490.SPy_2193 272623.L77627
NOG04346:	160490.SPy_1315 272623.L165
NOG04347:	272623.L96847 160490.SPy_0513
NOG04348:	272623.L0103 160490.SPy_1802
NOG04349:	160490.SPy_0406 272623.L6615
NOG04350:	160490.SPy_0369 272623.L107724
NOG04351:	160490.SPy_1662 272623.L91444
NOG04352:	160490.SPy_1633 272623.L150593
NOG04353:	272623.L140621 160490.SPy_2205
NOG04354:	272623.L0006 160490.SPy_0613
NOG04355:	160490.SPy_1497 272623.L81441
NOG04356:	272623.L54059 160490.SPy_0590
NOG04357:	272623.L73210 160490.SPy_2210
NOG04358:	160490.SPy_1408 272623.L0317
NOG04359:	160490.SPy_1415 272623.L0339
NOG04360:	272623.L92850 160490.SPy_1541 272623.L0112 272623.L93826
NOG04361:	160490.SPy_1682 272623.L0015
NOG04362:	160490.SPy_1976 272623.L27865
NOG04363:	272623.L87336 160490.SPy_0260
NOG04364:	272623.L104021 160490.SPy_0342
NOG04365:	160490.SPy_0824 272623.L0219
NOG04366:	272623.L6563 160490.SPy_0760
NOG04367:	160490.SPy_1721 272623.L0372
NOG04368:	160490.SPy_0867 272623.L195415
NOG04369:	272623.L136652 160490.SPy_0714
NOG04370:	160490.SPy_0379 272623.L63811
NOG04371:	160490.SPy_0723 272623.L105113
NOG04372:	272623.L0032 160490.SPy_0854
NOG04373:	272623.L113931 160490.SPy_1034
NOG04374:	272623.L153665 160490.SPy_1240
NOG04375:	272623.L199221 160490.SPy_0936
NOG04376:	272623.L0259 160490.SPy_0926
NOG04377:	272623.L22691 160490.SPy_2155
NOG04378:	272623.L130944 160490.SPy_0772
NOG04379:	272623.L52207 160490.SPy_0591
NOG04380:	160490.SPy_1104 272623.L177493
NOG04381:	160490.SPy_1849 272623.L57408
NOG04382:	160490.SPy_0924 272623.L18686
NOG04383:	160490.SPy_0015 272623.L0204
NOG04384:	160490.SPy_1729 272623.L58125
NOG04385:	272623.L0206 160490.SPy_0569
NOG04386:	160490.SPy_1596 272623.L118696
NOG04387:	160490.SPy_0183 272623.L74195
NOG04388:	160490.SPy_1011 272623.L197809
NOG04389:	160490.SPy_0002 272623.L0274
NOG04390:	272623.L2866 160490.SPy_0623
NOG04391:	160490.SPy_1632 272623.L149828
NOG04392:	272623.L143879 160490.SPy_1781
NOG04393:	272623.L0343 160490.SPy_1389
NOG04394:	160490.SPy_0894 272623.L156559
NOG04395:	272623.L158186 160490.SPy_1135
NOG04396:	160490.SPy_1164 272623.L0298
NOG04397:	160490.SPy_0461 272623.L0399
NOG04398:	272623.L89079 160490.SPy_1664
NOG04399:	272623.L84502 160490.SPy_0580
NOG04400:	272623.L10433 160490.SPy_0880
NOG04401:	272623.L60571 160490.SPy_0501
NOG04402:	160490.SPy_0572 272623.L90678
NOG04403:	272623.L176316 160490.SPy_1326
NOG04404:	160490.SPy_1520 272623.L0208
NOG04405:	160490.SPy_2185 272623.L97777
NOG04406:	272623.L0144 160490.SPy_1293
NOG04407:	272623.L38177 160490.SPy_0915
NOG04408:	272623.L56416 160490.SPy_1173
NOG04409:	272623.L48341 160490.SPy_2211
NOG04410:	160490.SPy_1608 272623.L196206
NOG04411:	160490.SPy_2151 272623.L0344
NOG04412:	272623.L0059 160490.SPy_0810
NOG04413:	160490.SPy_1414 272623.L11749 272623.L9458
NOG04414:	160490.SPy_0584 272623.L4822
NOG04415:	160490.SPy_1529 272623.L84096
NOG04416:	272623.L0262 160490.SPy_1785
NOG04417:	272623.L0011 160490.SPy_1429
NOG04418:	272623.L0257 160490.SPy_1314
NOG04419:	272623.L166370 160490.SPy_1393
NOG04420:	272623.L61680 160490.SPy_1149
NOG04421:	160490.SPy_1629 272623.L0292
NOG04422:	272623.L134243 160490.SPy_0763
NOG04423:	160490.SPy_1745 272623.L0189
NOG04424:	160490.SPy_0927 272623.L22735
NOG04425:	272623.L0304 160490.SPy_0751
NOG04426:	160490.SPy_1866 272623.L56208
NOG04427:	272623.L31393 160490.SPy_2198
NOG04428:	160490.SPy_1236 272623.L0134
NOG04429:	160490.SPy_1805 272623.L0334
NOG04430:	272623.L0213 160490.SPy_1981
NOG04431:	272623.L151330 160490.SPy_0034
NOG04432:	160490.SPy_0831 272623.L46118
NOG04433:	272623.L70400 160490.SPy_2110
NOG04434:	272623.L0270 160490.SPy_0185
NOG04435:	272623.L0160 160490.SPy_1333
NOG04436:	272623.L107797 160490.SPy_1128
NOG04437:	160490.SPy_0784 272623.L320
NOG04438:	272623.L0474 160490.SPy_1770
NOG04439:	160490.SPy_1040 272623.L0193
NOG04440:	272623.L156445 160490.SPy_1043
NOG04441:	272623.L15012 160490.SPy_0921
NOG04442:	160490.SPy_1013 272623.L162597
NOG04443:	160490.SPy_2121 272623.L0276
NOG04444:	272623.L171350 160490.SPy_0026
NOG04445:	160490.SPy_1693 272623.L66233
NOG04446:	272623.L107499 272623.L62179 160490.SPy_0609
NOG04447:	272623.L140690 160490.SPy_1421
NOG04448:	272623.L0057 160490.SPy_1352
NOG04449:	160490.SPy_1676 272623.L0043
NOG04450:	272623.L0340 160490.SPy_1659
NOG04451:	272623.L0205 160490.SPy_0644
NOG04452:	160490.SPy_0882 272623.L182559
NOG04453:	272623.L163602 160490.SPy_0885
NOG04454:	160490.SPy_0296 272623.L148976
NOG04455:	160490.SPy_2178 272623.L0381
NOG04456:	272623.L0353 160490.SPy_0422
NOG04457:	160490.SPy_0790 272623.L4342
NOG04458:	272623.L0400 160490.SPy_0052
NOG04459:	272623.L8990 160490.SPy_0758
NOG04460:	160490.SPy_2070 272623.L198893
NOG04461:	160490.SPy_0273 272623.L0368
NOG04462:	272623.L49325 160490.SPy_0845
NOG04463:	272623.L24228 160490.SPy_0348
NOG04464:	160490.SPy_0388 272623.L53929
NOG04465:	272623.L0086 160490.SPy_0911
NOG04466:	272623.L0355 160490.SPy_0769
NOG04467:	272623.L0151 160490.SPy_1202
NOG04468:	272623.L148957 160490.SPy_0453
NOG04469:	272623.L0371 160490.SPy_0611
NOG04470:	160490.SPy_1618 272623.L0088
NOG04471:	272623.L64373 160490.SPy_1033
NOG04472:	272623.L130682 160490.SPy_1604
NOG04473:	160490.SPy_0208 272623.L125485
NOG04474:	272623.L59867 160490.SPy_1070
NOG04475:	272623.L125196 160490.SPy_1154
NOG04476:	160490.SPy_0889 272623.L0045
NOG04477:	160490.SPy_1593 272623.L128777
NOG04478:	160490.SPy_0808 272623.L52686
NOG04479:	160490.SPy_0532 272623.L10155
NOG04480:	272623.L0294 160490.SPy_1375
NOG04481:	272623.L0251 160490.SPy_0777
NOG04482:	160490.SPy_1906 272623.L0309
NOG04483:	160490.SPy_1372 272623.L120628
NOG04484:	272623.L0313 160490.SPy_0101
NOG04485:	160490.SPy_0022 272623.L71174
NOG04486:	160490.SPy_1821 272623.L0377
NOG04487:	272623.L90422 160490.SPy_1824
NOG04488:	272623.L180469 160490.SPy_0329
NOG04489:	160490.SPy_0458 272623.L0211
NOG04490:	272623.L99272 160490.SPy_1992
NOG04491:	160490.SPy_1126 272623.L166614
NOG04492:	272623.L109162 160490.SPy_0229
NOG04493:	160490.SPy_1654 272623.L160176 272623.L161441
NOG04494:	272623.L0361 160490.SPy_0203
NOG04495:	160490.SPy_1036 272623.L33187
NOG04496:	272623.L0139 160490.SPy_0782
NOG04497:	160490.SPy_0189 272623.L151001
NOG04498:	160490.SPy_1228 160490.SPy_0163 272623.L61620
NOG04499:	160490.SPy_0728 272623.L7722
NOG04500:	272623.L0402 160490.SPy_0050
NOG04501:	160490.SPy_1625 272623.L138452
NOG04502:	272623.L159505 160490.SPy_1213
NOG04503:	160490.SPy_0093 272623.L166512
NOG04504:	272623.L582 160490.SPy_0530
NOG04505:	272623.L173881 160490.SPy_1101
NOG04506:	160490.SPy_0833 272623.L43866
NOG04507:	160490.SPy_1133 272623.L64737
NOG04508:	160490.SPy_1250 272623.L0167
NOG04509:	160490.SPy_0832 272623.L45002
NOG04510:	160490.SPy_1683 272623.L0013
NOG04511:	272623.L177350 160490.SPy_0024
NOG04512:	160490.SPy_0267 272623.L184033
NOG04513:	160490.SPy_0443 272623.L134450
NOG04514:	160490.SPy_1368 272623.L108994
NOG04515:	272623.L160092 160490.SPy_1137
NOG04516:	272623.L0342 160490.SPy_2157
NOG04517:	272623.L87561 160490.SPy_1666
NOG04518:	272623.L159396 160490.SPy_1136
NOG04519:	160490.SPy_1141 272623.L0373
NOG04520:	160490.SPy_0456 272623.L149891
NOG04521:	272623.L38650 160490.SPy_1507
NOG04522:	160490.SPy_1568 272623.L0351
NOG04523:	272623.L0370 160490.SPy_1527
NOG04524:	272623.L114325 160490.SPy_1410
NOG04525:	272623.L12227 160490.SPy_1406
NOG04526:	160490.SPy_0007 272623.L0365
NOG04527:	272623.L119452 272623.L117444 272623.L120334 272623.L118475 160490.SPy_0319
NOG04528:	272623.L0266 160490.SPy_2119
NOG04529:	160490.SPy_1746 272623.L0188
NOG04530:	272623.L0253 160490.SPy_0929
NOG04531:	272623.L164312 160490.SPy_0351
NOG04532:	160490.SPy_0830 272623.L0227
NOG04533:	160490.SPy_0447 272623.L132777
NOG04534:	160490.SPy_1626 272623.L140754
NOG04535:	272623.L196779 160490.SPy_0356
