##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/68525.deproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/68525.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/68525.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG00001:	192222.Cj0023 882.DVU2942 85962.HP1112
NOG00142:	85962.HP0197 192222.Cj1096c 882.DVU2449
NOG00143:	85962.HP1362 192222.Cj0562 882.DVU0959
NOG00144:	192222.Cj0015c 882.DVU2517 85962.HP0711
NOG00145:	882.DVU0794 192222.Cj1400c 85962.HP0195
NOG00146:	192222.Cj0190c 882.DVU0710 85962.HP0792
NOG00147:	882.DVU0156 192222.Cj1101 85962.HP1478
NOG00148:	882.DVU2756 85962.HP0654 192222.Cj1368
NOG00149:	85962.HP1275 882.DVU0685 192222.Cj1407c
NOG00150:	85962.HP1019 882.DVU1468 192222.Cj1228c
NOG00151:	192222.Cj0684 85962.HP0387 882.DVU1284
NOG00152:	882.DVU0325 85962.HP0898 192222.Cj0625
NOG00153:	192222.Cj1713 85962.HP1428 882.DVU2904
NOG00154:	192222.Cj0132 85962.HP1052 882.DVU2917
NOG00155:	882.DVU0871 85962.HP0777 192222.Cj1274c
NOG00156:	192222.Cj0806 882.DVU1868 85962.HP1013
NOG00157:	882.DVU3358 85962.HP1139 192222.Cj0100
NOG00158:	192222.Cj0334 882.DVU2247 85962.HP1563
NOG00159:	882.DVU0313 85962.HP0351 192222.Cj0318
NOG00160:	882.DVU0724 192222.Cj0903c 85962.HP0942
NOG00161:	192222.Cj0912c 882.DVU0663 85962.HP0107
NOG00162:	192222.Cj1131c 85962.HP0360 882.DVU1360
NOG00163:	85962.HP1058 882.DVU2446 192222.Cj0298c
NOG00164:	882.DVU0866 85962.HP0216 192222.Cj1346c
NOG00165:	192222.Cj0028 882.DVU0904 85962.HP0348
NOG00166:	882.DVU2925 85962.HP1201 192222.Cj0475
NOG00167:	85962.HP1450 882.DVU1077 192222.Cj0958c
NOG00168:	882.DVU2901 192222.Cj1098 85962.HP1084
NOG00169:	882.DVU1283 192222.Cj1536c 85962.HP0646
NOG00170:	192222.Cj1250 882.DVU0488 85962.HP1218
NOG00171:	85962.HP0561 192222.Cj0435 882.DVU1206
NOG00172:	882.DVU3243 85962.HP1332 192222.Cj1260c
NOG00173:	192222.Cj0384c 85962.HP0003 882.DVU1624
NOG00174:	192222.Cj1646 882.DVU0612 85962.HP1466
NOG00175:	882.DVU3351 192222.Cj0577c 85962.HP1062
NOG00176:	192222.Cj1549c 85962.HP1402 882.DVU1703
NOG00177:	882.DVU2499 192222.Cj0696 85962.HP0979
NOG00178:	85962.HP0246 192222.Cj1462 882.DVU0516
NOG00179:	192222.Cj0572 85962.HP0804 882.DVU1199
NOG00180:	85962.HP0570 192222.Cj0929 882.DVU0415
NOG00181:	882.DVU0326 192222.Cj0626 85962.HP0047
NOG00182:	85962.HP0512 882.DVU3392 192222.Cj0699c
NOG00183:	882.DVU1461 192222.Cj0542 85962.HP0239
NOG00184:	882.DVU1784 192222.Cj0833c 85962.HP0357
NOG00185:	882.DVU1946 192222.Cj0537 85962.HP0590
NOG00186:	85962.HP1494 192222.Cj1641 882.DVU2509
NOG00187:	882.DVU2668 85962.HP0683 192222.Cj0821
NOG00188:	85962.HP0196 882.DVU2369 192222.Cj0576
NOG00189:	85962.HP0715 882.DVU1627 192222.Cj0669
NOG00190:	85962.HP0841 882.DVU3353 192222.Cj0822
NOG00191:	882.DVU3360 192222.Cj0101 85962.HP1138
NOG00192:	192222.Cj0492 85962.HP1196 882.DVU1299
NOG00193:	192222.Cj0695 85962.HP0978 882.DVU2500
NOG00194:	192222.Cj0491 85962.HP1197 882.DVU1298
NOG00195:	882.DVU1147 85962.HP0855 192222.Cj0611c
NOG00196:	192222.Cj1545c 85962.HP0630 882.DVU3135
NOG00197:	882.DVU1540 192222.Cj0790 85962.HP1434
NOG00198:	85962.HP0013 882.DVU1091 192222.Cj1633
NOG00199:	85962.HP0259 882.DVU1346 192222.Cj0325
NOG00200:	882.DVU2558 85962.HP1406 192222.Cj1685c
NOG00201:	882.DVU1313 85962.HP1309 192222.Cj1697c
NOG00202:	192222.Cj0335 882.DVU3233 85962.HP0770
NOG00203:	85962.HP1253 192222.Cj0388 882.DVU0142
NOG00204:	85962.HP0002 192222.Cj0383c 882.DVU1198
NOG00205:	192222.Cj1651c 882.DVU1324 85962.HP1299
NOG00206:	85962.HP0707 192222.Cj0693c 882.DVU2512
NOG00207:	85962.HP1555 882.DVU0873 192222.Cj1181c
NOG00208:	192222.Cj0285c 882.DVU0056 85962.HP0393 882.DVU0992 882.DVU0652
NOG00209:	192222.Cj1443c 882.DVU0160 85962.HP1429
NOG00210:	882.DVU2883 85962.HP1513 192222.Cj1378
NOG00211:	192222.Cj1454c 882.DVU3151 85962.HP0734
NOG00212:	192222.Cj0701 882.DVU0654 85962.HP0169
NOG00213:	882.DVU3194 85962.HP0834 192222.Cj0386
NOG00214:	882.DVU0312 85962.HP0352 192222.Cj0319
NOG00215:	192222.Cj0373 85962.HP0096 882.DVU1412
NOG00216:	882.DVU1847 882.DVU2109 882.DVU2330 85962.HP0207 192222.Cj1606c
NOG00217:	882.DVU0044 85962.HP0685 192222.Cj0820c
NOG00218:	882.DVU3114 192222.Cj0813 85962.HP0230
NOG00219:	192222.Cj0546 85962.HP0396 882.DVU2320
NOG00220:	192222.Cj1206c 85962.HP0763 882.DVU3059
NOG00221:	85962.HP0787 192222.Cj0941c 882.DVU2375
NOG00222:	85962.HP0655 192222.Cj0129c 882.DVU2373
NOG00223:	882.DVU2448 192222.Cj0297c 85962.HP0006
NOG00224:	192222.Cj0946 882.DVU0896 85962.HP0087
NOG00225:	192222.Cj1294 882.DVU3010 85962.HP0366 882.DVU0075
NOG00226:	192222.Cj1595 882.DVU1329 85962.HP1293
NOG00227:	85962.HP0621 192222.Cj1052c 882.DVU1790
NOG00228:	882.DVU3159 192222.Cj1196c 85962.HP0961
NOG00229:	85962.HP1375 882.DVU2367 192222.Cj0274
NOG00230:	85962.HP0012 882.DVU1789 192222.Cj1638
NOG00231:	882.DVU0283 882.DVU1838 85962.HP0825 192222.Cj0146c
NOG00232:	192222.Cj1054c 85962.HP0623 882.DVU2503
NOG00233:	882.DVU0611 192222.Cj1647 85962.HP1465
NOG00234:	192222.Cj0183 85962.HP1490 882.DVU2148
NOG00235:	85962.HP1282 192222.Cj0345 882.DVU0465
NOG00236:	882.DVU3361 192222.Cj1150c 85962.HP0858
NOG00237:	85962.HP0585 192222.Cj0595c 882.DVU0990
NOG00238:	882.DVU2924 85962.HP1202 192222.Cj0474
NOG00239:	192222.Cj1700c 85962.HP1312 882.DVU1310
NOG00240:	192222.Cj0508 882.DVU0633 85962.HP0597
NOG00241:	882.DVU2147 192222.Cj1624c 85962.HP0132
NOG00242:	882.DVU0430 882.DVU2291 85962.HP1263 192222.Cj1576c
NOG00243:	192222.Cj0255c 882.DVU3259 85962.HP1526
NOG00244:	192222.Cj0578c 85962.HP1061 882.DVU1041
NOG00245:	882.DVU1328 192222.Cj1594 85962.HP1294
NOG00246:	192222.Cj1607 85962.HP1020 882.DVU1454
NOG00247:	882.DVU0870 85962.HP1256 192222.Cj0234c
NOG00248:	192222.Cj1695c 882.DVU1315 85962.HP1307
NOG00249:	882.DVU1577 192222.Cj0663c 85962.HP0515
NOG00250:	85962.HP0303 192222.Cj0096 882.DVU0929
NOG00251:	882.DVU0282 192222.Cj1620c 85962.HP0142
NOG00252:	192222.Cj0631c 85962.HP1248 882.DVU2467
NOG00253:	192222.Cj0053c 85962.HP1335 882.DVU0807
NOG00254:	882.DVU1666 85962.HP0177 192222.Cj0551
NOG00255:	85962.HP0768 882.DVU0580 192222.Cj0161c
NOG00256:	192222.Cj0956c 85962.HP1452 882.DVU1079
NOG00257:	882.DVU3373 85962.HP1100 192222.Cj0013
NOG00258:	85962.HP0714 882.DVU1628 192222.Cj0670
NOG00259:	85962.HP0929 192222.Cj1644 882.DVU1349
NOG00260:	192222.Cj1568c 882.DVU0434 85962.HP1271
NOG00261:	192222.Cj0661c 882.DVU0052 85962.HP0517
NOG00262:	882.DVU0901 85962.HP0005 192222.Cj0381c
NOG00263:	85962.HP0743 882.DVU0785 192222.Cj1282
NOG00264:	85962.HP0857 192222.Cj1149c 882.DVU1889
NOG00265:	192222.Cj0164c 85962.HP1360 882.DVU0973
NOG00266:	85962.HP0471 192222.Cj1231 882.DVU2302
NOG00267:	192222.Cj0713 882.DVU0836 85962.HP1148
NOG00268:	85962.HP0900 882.DVU2329 192222.Cj0623
NOG00269:	192222.Cj0273 882.DVU2368 85962.HP1376
NOG00270:	192222.Cj1239 882.DVU2241 85962.HP1583
NOG00271:	85962.HP0090 882.DVU1249 192222.Cj0116
NOG00272:	85962.HP0828 882.DVU0918 192222.Cj1204c
NOG00273:	882.DVU3179 192222.Cj0541 85962.HP0240
NOG00274:	192222.Cj1006c 882.DVU0897 85962.HP0285
NOG00275:	192222.Cj0925 85962.HP0574 882.DVU1580
NOG00276:	882.DVU2371 85962.HP0772 192222.Cj1269c
NOG00277:	882.DVU1876 192222.Cj1229 85962.HP1024
NOG00278:	192222.Cj0068 882.DVU3149 85962.HP1435
NOG00279:	85962.HP1296 882.DVU1326 192222.Cj1592
NOG00280:	882.DVU3063 85962.HP0885 192222.Cj0801
NOG00281:	85962.HP1280 882.DVU0467 192222.Cj0346
NOG00282:	85962.HP0866 882.DVU3245 192222.Cj0287c
NOG00283:	882.DVU0662 192222.Cj0763c 85962.HP1210
NOG00284:	192222.Cj0824 85962.HP1221 882.DVU0869
NOG00285:	882.DVU1440 85962.HP0662 192222.Cj1635c
NOG00286:	192222.Cj0271 85962.HP0136 882.DVU0814
NOG00287:	192222.Cj0473 85962.HP1203 882.DVU2923
NOG00288:	192222.Cj0646 85962.HP1571 882.DVU0397
NOG00289:	192222.Cj0644 85962.HP1573 882.DVU3202
NOG00290:	882.DVU2533 85962.HP0402 192222.Cj0896c
NOG00291:	85962.HP0258 882.DVU0865 192222.Cj1068
NOG00292:	85962.HP1133 882.DVU0776 192222.Cj0106
NOG00293:	192222.Cj0894c 882.DVU0055 85962.HP0400
NOG00294:	882.DVU0665 192222.Cj0239c 85962.HP0221
NOG00295:	882.DVU2410 85962.HP0389 192222.Cj0169
NOG00296:	85962.HP0930 192222.Cj0293 882.DVU2142
NOG00297:	192222.Cj0332c 85962.HP0198 882.DVU2333
NOG00298:	85962.HP0117 882.DVU3054 192222.Cj1244
NOG00299:	85962.HP1295 192222.Cj1593 882.DVU1327
NOG00300:	85962.HP1584 192222.Cj1344c 882.DVU1840
NOG00301:	192222.Cj0256 85962.HP0022 882.DVU3376
NOG00302:	882.DVU0510 192222.Cj0460 85962.HP1514
NOG00303:	192222.Cj1584c 85962.HP0298 882.DVU2084
NOG00304:	882.DVU0339 192222.Cj0891c 85962.HP0397
NOG00305:	192222.Cj0991c 85962.HP0666 882.DVU3028
NOG00306:	882.DVU1024 192222.Cj1280c 85962.HP0745
NOG00307:	882.DVU1279 85962.HP1232 192222.Cj0585
NOG00308:	85962.HP0889 882.DVU0649 192222.Cj1615
NOG00309:	882.DVU3228 85962.HP1067 192222.Cj1118c
NOG00310:	85962.HP0084 882.DVU2518 192222.Cj1480c
NOG00311:	85962.HP0045 882.DVU0090 192222.Cj1428c
NOG00312:	85962.HP1529 882.DVU2252 192222.Cj0001
NOG00313:	192222.Cj0098 882.DVU3365 85962.HP1141
NOG00314:	882.DVU0801 192222.Cj1246c 85962.HP0821
NOG00315:	85962.HP1475 882.DVU1532 192222.Cj0767c
NOG00316:	85962.HP0321 882.DVU0900 192222.Cj1177c
NOG00317:	882.DVU1818 85962.HP1549 192222.Cj1092c
NOG00318:	85962.HP0194 882.DVU1677 192222.Cj1401c
NOG00319:	192222.Cj0645 882.DVU0041 85962.HP1572
NOG00320:	85962.HP0944 882.DVU2203 192222.Cj1388
NOG00321:	192222.Cj1636c 85962.HP0661 882.DVU0689
NOG00322:	192222.Cj1531 85962.HP0566 882.DVU1867
NOG00323:	85962.HP0844 192222.Cj1082c 882.DVU0931
NOG00324:	882.DVU1320 85962.HP1302 192222.Cj1690c
NOG00325:	882.DVU0088 192222.Cj1502c 85962.HP0055
NOG00326:	85962.HP0510 192222.Cj0197c 882.DVU1609
NOG00327:	882.DVU0463 192222.Cj0895c 85962.HP0401
NOG00328:	192222.Cj1692c 882.DVU1318 85962.HP1304
NOG00329:	192222.Cj0024 882.DVU3379 85962.HP0680
NOG00330:	882.DVU1908 85962.HP1582 192222.Cj1238
NOG00331:	192222.Cj0499 85962.HP0741 882.DVU1652
NOG00332:	85962.HP0867 192222.Cj0288c 882.DVU1361
NOG00333:	882.DVU3057 85962.HP1226 192222.Cj0580c
NOG00334:	192222.Cj0525c 85962.HP1556 882.DVU2510
NOG00335:	192222.Cj1703c 85962.HP1315 882.DVU1307
NOG00336:	85962.HP0549 192222.Cj1652c 882.DVU0768
NOG00337:	882.DVU2506 85962.HP0494 192222.Cj0432c
NOG00338:	882.DVU1863 85962.HP1034 882.DVU3230 192222.Cj0063c
NOG00339:	882.DVU2980 85962.HP1071 192222.Cj1114c
NOG00340:	192222.Cj0451 85962.HP1386 882.DVU2531
NOG00341:	192222.Cj0477 882.DVU2927 85962.HP1199
NOG00342:	85962.HP0506 882.DVU3395 192222.Cj1215
NOG00343:	192222.Cj0060c 882.DVU0910 85962.HP1031
NOG00344:	192222.Cj0407 882.DVU0015 85962.HP0955
NOG00345:	85962.HP0115 882.DVU1441 192222.Cj1339c 882.DVU2082 85962.HP0601 882.DVU2444 192222.Cj1338c
NOG00346:	882.DVU3229 192222.Cj0061c 85962.HP1032
NOG00347:	192222.Cj1596 85962.HP1292 882.DVU1330
NOG00348:	192222.Cj0647 882.DVU1625 85962.HP1570
NOG00349:	192222.Cj0527c 882.DVU0315 85962.HP1558
NOG00350:	192222.Cj0589 882.DVU0450 85962.HP1087
NOG00351:	85962.HP0602 882.DVU2338 192222.Cj1083c
NOG00352:	85962.HP0642 192222.Cj1066 882.DVU3136
NOG00353:	192222.Cj0349 85962.HP1277 882.DVU0471
NOG00354:	882.DVU0504 192222.Cj0884 85962.HP1040
NOG00355:	882.DVU0519 85962.HP1119 192222.Cj1466
NOG00356:	882.DVU3174 85962.HP1483 192222.Cj0324
NOG00357:	882.DVU2504 85962.HP1155 192222.Cj1039
NOG00358:	85962.HP1054 192222.Cj0131 882.DVU1851
NOG00359:	882.DVU1947 85962.HP0591 192222.Cj0538
NOG00360:	85962.HP1567 882.DVU1664 192222.Cj0650
NOG00361:	882.DVU3234 192222.Cj1179c 85962.HP0173
NOG00362:	882.DVU2288 882.DVU0432 192222.Cj1578c 85962.HP1261
NOG00363:	192222.Cj1676 85962.HP1418 882.DVU2502
NOG00364:	882.DVU1568 192222.Cj0612c 85962.HP0653
NOG00365:	882.DVU0835 85962.HP1147 192222.Cj0714
NOG00366:	192222.Cj0086c 882.DVU0393 85962.HP1347
NOG00367:	882.DVU1781 192222.Cj0073c 85962.HP0137
NOG00368:	192222.Cj1708c 882.DVU1302 85962.HP1320
NOG00369:	85962.HP0391 192222.Cj0283c 882.DVU1904
NOG00370:	882.DVU2882 192222.Cj1088c 85962.HP1545
NOG00371:	882.DVU2659 192222.Cj0016 85962.HP0639
NOG00372:	882.DVU0115 85962.HP1249 192222.Cj0405
NOG00373:	85962.HP0381 192222.Cj0722c 882.DVU2916
NOG00374:	882.DVU1932 192222.Cj0639c 85962.HP0618
NOG00375:	85962.HP1089 192222.Cj1482c 882.DVU2063
NOG00376:	192222.Cj0154c 85962.HP0552 882.DVU0832
NOG00377:	85962.HP1012 192222.Cj0805 882.DVU1430
NOG00378:	882.DVU2537 192222.Cj0207 85962.HP0124
NOG00379:	85962.HP1415 192222.Cj0166 882.DVU1533
NOG00380:	192222.Cj0798c 85962.HP0738 882.DVU0334
NOG00381:	882.DVU0927 192222.Cj0094 85962.HP0296
NOG00382:	192222.Cj1476c 85962.HP1110 882.DVU3025
NOG00383:	192222.Cj1590 85962.HP1298 882.DVU0014
NOG00384:	85962.HP0952 882.DVU1033 192222.Cj1062
NOG00385:	85962.HP0395 882.DVU0051 192222.Cj0719c
NOG00386:	882.DVU0540 882.DVU3382 192222.Cj0793 882.DVU0945 85962.HP0244 882.DVU2931 882.DVU1418 882.DVU3152 882.DVU0109 882.DVU0119
NOG00387:	85962.HP1459 882.DVU1669 192222.Cj1709c
NOG00388:	882.DVU1319 85962.HP1303 192222.Cj1691c
NOG00389:	882.DVU2362 882.DVU2091 192222.Cj1081c 85962.HP0843
NOG00390:	192222.Cj0400 85962.HP1027 882.DVU0942
NOG00391:	882.DVU1977 192222.Cj1220 85962.HP0011
